XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
CodeBarre;OBAGB034-EVS00-078; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;78;sabbia;sand
CodeBarre;OBAGB034-EVS00-048; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;48;mattone;brick
CodeBarre;OBAGB034-EVS00-224; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;224;verde inglese;english green
CodeBarre;OBAGB034-EVS00-371; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;371;latte;milk
CodeBarre;OBAGB034-EVS00-486; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;486;pink;pink
CodeBarre;OBAGB034-EVS00-589; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;589;lily grey;lily grey
CodeBarre;OBAGB034-EVS00-588; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;588;orchidea;orchid
CodeBarre;OBAGB034-EVS00-602; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;602;viola scuro;dark violet
CodeBarre;OBAGB034-EVS50-017; O bag spring 19;14; scocca O bag glam stampa;OBAGB034;EVS50;17;blu navy;blue navy
CodeBarre;OBAGB034-EVS50-371; O bag spring 19;14; scocca O bag glam stampa;OBAGB034;EVS50;371;latte;milk
8050846063204;OBAGB046-EVS00-017; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;17;blu navy;blue navy
8050846063181;OBAGB046-EVS00-055; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;55;nero;black
8050846063266;OBAGB046-EVS00-026; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;26;cobalto;cobalt blue
8050846063235;OBAGB046-EVS00-088; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;88;turchese;turquoise
8050846063242;OBAGB046-EVS00-048; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;48;mattone;brick
8050846063259;OBAGB046-EVS00-224; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;224;verde inglese;english green
8050846063198;OBAGB046-EVS00-371; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;371;latte;milk
CodeBarre;OBAGB046-EVS00-078; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;78;sabbia;sand
8050846063211;OBAGB046-EVS00-588; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;588;orchidea;orchid
