'030;011;8050846046634;OBAGB012-EVS03-484;CORPS O BAG BEACH EVA COMPOUND EFFET OSIER;UNICA;1;11,340;11,34; ; ; ;coral;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'031;001;8050846079670;OBAGB018-EVS03-088;CORPS O BAG BEACH MINI EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'032;023;8050846006508;OBAGB018-EVS03-347;CORPS O BAG BEACH MINI EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76;MINIOBEACH      ;CEDRO;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'033;093;8050846046672;OBAGB018-EVS03-484;CORPS O BAG BEACH MINI EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76; ; ; ;coral;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'034;041;8050846012998;OBAGB018-EVS03-486;CORPS O BAG BEACH MINI EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76;MINIOBEACH      ;PINK ;0;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'035;078;8050846079984;OBAGB021-EVS03-088;CORPS O SWING EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'036;002;8050846007284;OBAGB021-EVS03-347;CORPS O SWING EVA COMPOUND EFFET OSIER;UNICA;2;11,880;23,76;OSWING          ;CEDRE;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'037;079;8050846046696;OBAGB021-EVS03-484;CORPS O SWING EVA COMPOUND EFFET OSIER;UNICA;1;11,880;11,88; ; ; ;coral;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'038;094;8050846017306;OBAGB021-EVS03-485;CORPS O SWING EVA COMPOUND EFFET OSIER;UNICA;1;11,880;11,88;OSWING          ;ATLAN;0;atlantic;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'039;012;8050846028982;OBAGB037-EVS00-017;CORPS O BAG TWIST MINI EVA COMPOUND;UNICA;2;15,560;31,12;OTWISTMINI      ;NAVY ;0;blu navy;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
