             ;EXPORT CODE EAN13, le 14/12/2018 18:17:27;;;;
 ;;;;;
             ;CRITERES T/U/B/L/S (Tous/Unique/Bornes/Liste/Sauf);;;;
 ;;;;;
             ;NUMERO DE SOCIETE      U       1;;;;
             ;COLLECTION             T;;;;
             ;CODE FOURNISSEUR ART   T;;;;
             ;DEPARTEMENT            T;;;;
             ;FAMILLE                T;;;;
             ;SOUS FAMILLE           T;;;;
             ;MODELE                 T;;;;
             ;MATIERE                T;;;;
             ;GRILLE TAILLE          T;;;;
             ;MARQUE/DIVISION        T;;;;
             ;THEME                  T;;;;
             ;DATE DE CREATION       T;;;;
             ;DATE DE MISE A JOUR    T;;;;
             ;NUMERO DE COMMANDE     T;;;;
             ;DATE                   T;;;;
             ;CODE EAN               T;;;;
             ;ENVOYER PAR MAIL A     T;;;;
Export EAN13 vers D:\VALMAG4\IMP\EAN13EXP.TXT;;;;;
3004320794011;FULL         ;ANSES/ATTACHES  ;GOACQ;S    ;10/11/2016
3004320794042;FULL         ;ANSES/ATTACHES  ;GOACQ;XL   ;10/11/2016
3004320794004;FULL         ;ANSES/ATTACHES  ;GOACQ;XS   ;10/11/2016
3004320794059;FULL         ;ANSES/ATTACHES  ;GOACQ;XXL  ;10/11/2016
3004320794066;FULL         ;ANSES/ATTACHES  ;GOACQ;XXS  ;10/11/2016
3004320796039;FULL         ;ANSES/ATTACHES  ;GOICE;L    ;10/11/2016
3004320796022;FULL         ;ANSES/ATTACHES  ;GOICE;M    ;10/11/2016
3004320796015;FULL         ;ANSES/ATTACHES  ;GOICE;S    ;10/11/2016
3004320796046;FULL         ;ANSES/ATTACHES  ;GOICE;XL   ;10/11/2016
3004320796008;FULL         ;ANSES/ATTACHES  ;GOICE;XS   ;10/11/2016
3004320796053;FULL         ;ANSES/ATTACHES  ;GOICE;XXL  ;10/11/2016
3004320796060;FULL         ;ANSES/ATTACHES  ;GOICE;XXS  ;10/11/2016
3004320795032;FULL         ;ANSES/ATTACHES  ;GOIRI;L    ;10/11/2016
3004320795025;FULL         ;ANSES/ATTACHES  ;GOIRI;M    ;10/11/2016
3004320795018;FULL         ;ANSES/ATTACHES  ;GOIRI;S    ;10/11/2016
3004320795049;FULL         ;ANSES/ATTACHES  ;GOIRI;XL   ;10/11/2016
3004320795001;FULL         ;ANSES/ATTACHES  ;GOIRI;XS   ;10/11/2016
3004320795056;FULL         ;ANSES/ATTACHES  ;GOIRI;XXL  ;10/11/2016
3004320795063;FULL         ;ANSES/ATTACHES  ;GOIRI;XXS  ;10/11/2016
3004320800033;FULL         ;ANSES/ATTACHES  ;GOMAG;L    ;10/11/2016
3004320800026;FULL         ;ANSES/ATTACHES  ;GOMAG;M    ;10/11/2016
3004320800019;FULL         ;ANSES/ATTACHES  ;GOMAG;S    ;10/11/2016
3004320800040;FULL         ;ANSES/ATTACHES  ;GOMAG;XL   ;10/11/2016
3004320800002;FULL         ;ANSES/ATTACHES  ;GOMAG;XS   ;10/11/2016
3004320800057;FULL         ;ANSES/ATTACHES  ;GOMAG;XXL  ;10/11/2016
3004320800064;FULL         ;ANSES/ATTACHES  ;GOMAG;XXS  ;10/11/2016
3004320497035;FULL         ;ANSES/ATTACHES  ;IVOIR;L    ;10/11/2016
3004320497028;FULL         ;ANSES/ATTACHES  ;IVOIR;M    ;10/11/2016
3004320497011;FULL         ;ANSES/ATTACHES  ;IVOIR;S    ;10/11/2016
3004320497042;FULL         ;ANSES/ATTACHES  ;IVOIR;XL   ;10/11/2016
3004320497004;FULL         ;ANSES/ATTACHES  ;IVOIR;XS   ;10/11/2016
3004320497059;FULL         ;ANSES/ATTACHES  ;IVOIR;XXL  ;10/11/2016
3004320497066;FULL         ;ANSES/ATTACHES  ;IVOIR;XXS  ;10/11/2016
3004320397038;FULL         ;ANSES/ATTACHES  ;ROSA ;L    ;10/11/2016
3004320397021;FULL         ;ANSES/ATTACHES  ;ROSA ;M    ;10/11/2016
3004320397014;FULL         ;ANSES/ATTACHES  ;ROSA ;S    ;10/11/2016
3004320397045;FULL         ;ANSES/ATTACHES  ;ROSA ;XL   ;10/11/2016
3004320397007;FULL         ;ANSES/ATTACHES  ;ROSA ;XS   ;10/11/2016
3004320397052;FULL         ;ANSES/ATTACHES  ;ROSA ;XXL  ;10/11/2016
3004320397069;FULL         ;ANSES/ATTACHES  ;ROSA ;XXS  ;10/11/2016
3004320403036;FULL         ;ANSES/ATTACHES  ;SAUGE;L    ;10/11/2016
3004320403029;FULL         ;ANSES/ATTACHES  ;SAUGE;M    ;10/11/2016
3004320403012;FULL         ;ANSES/ATTACHES  ;SAUGE;S    ;10/11/2016
3004320403043;FULL         ;ANSES/ATTACHES  ;SAUGE;XL   ;10/11/2016
3004320403005;FULL         ;ANSES/ATTACHES  ;SAUGE;XS   ;10/11/2016
3004320403050;FULL         ;ANSES/ATTACHES  ;SAUGE;XXL  ;10/11/2016
3004320403067;FULL         ;ANSES/ATTACHES  ;SAUGE;XXS  ;10/11/2016
3004320663003;FULL         ;ANSES/ATTACHES  ;TEST ;0;07/01/2016
3004320663034;FULL         ;ANSES/ATTACHES  ;TEST ;L    ;10/11/2016
3004320663027;FULL         ;ANSES/ATTACHES  ;TEST ;M    ;10/11/2016
8058983595893;FULL         ;ANSES/ATTACHES  ;TEST ;S    ;10/11/2016
3004320663010;FULL         ;ANSES/ATTACHES  ;TEST ;S    ;10/11/2016
3004320663041;FULL         ;ANSES/ATTACHES  ;TEST ;XL   ;10/11/2016
3004980663009;FULL         ;ANSES/ATTACHES  ;TEST ;XS   ;10/11/2016
3004980663054;FULL         ;ANSES/ATTACHES  ;TEST ;XXL  ;10/11/2016
3004980663061;FULL         ;ANSES/ATTACHES  ;TEST ;XXS  ;10/11/2016
3004980472038;FULL         ;ANSES/ATTACHES  ;TREBR;L    ;10/11/2016
3004980472021;FULL         ;ANSES/ATTACHES  ;TREBR;M    ;10/11/2016
3004980472014;FULL         ;ANSES/ATTACHES  ;TREBR;S    ;10/11/2016
3004980472045;FULL         ;ANSES/ATTACHES  ;TREBR;XL   ;10/11/2016
3004980472007;FULL         ;ANSES/ATTACHES  ;TREBR;XS   ;10/11/2016
3004980472052;FULL         ;ANSES/ATTACHES  ;TREBR;XXL  ;10/11/2016
3004980472069;FULL         ;ANSES/ATTACHES  ;TREBR;XXS  ;10/11/2016
3004980473035;FULL         ;ANSES/ATTACHES  ;TRENA;L    ;10/11/2016
3004980473028;FULL         ;ANSES/ATTACHES  ;TRENA;M    ;10/11/2016
3004980473011;FULL         ;ANSES/ATTACHES  ;TRENA;S    ;10/11/2016
3004980473042;FULL         ;ANSES/ATTACHES  ;TRENA;XL   ;10/11/2016
3004980473004;FULL         ;ANSES/ATTACHES  ;TRENA;XS   ;10/11/2016
3004980473059;FULL         ;ANSES/ATTACHES  ;TRENA;XXL  ;10/11/2016
3004980473066;FULL         ;ANSES/ATTACHES  ;TRENA;XXS  ;10/11/2016
3004320715030;FULL         ;ANSES/ATTACHES  ;VERCI;L    ;10/11/2016
3004320715023;FULL         ;ANSES/ATTACHES  ;VERCI;M    ;10/11/2016
3004320715016;FULL         ;ANSES/ATTACHES  ;VERCI;S    ;10/11/2016
3004320715047;FULL         ;ANSES/ATTACHES  ;VERCI;XL   ;10/11/2016
3004320715009;FULL         ;ANSES/ATTACHES  ;VERCI;XS   ;10/11/2016
3004320715054;FULL         ;ANSES/ATTACHES  ;VERCI;XXL  ;10/11/2016
3004320715061;FULL         ;ANSES/ATTACHES  ;VERCI;XXS  ;10/11/2016
3004320714033;FULL         ;ANSES/ATTACHES  ;VERRO;L    ;10/11/2016
3004320714026;FULL         ;ANSES/ATTACHES  ;VERRO;M    ;10/11/2016
3004320714019;FULL         ;ANSES/ATTACHES  ;VERRO;S    ;10/11/2016
3004320714040;FULL         ;ANSES/ATTACHES  ;VERRO;XL   ;10/11/2016
3004320714002;FULL         ;ANSES/ATTACHES  ;VERRO;XS   ;10/11/2016
3004320714057;FULL         ;ANSES/ATTACHES  ;VERRO;XXL  ;10/11/2016
3004320714064;FULL         ;ANSES/ATTACHES  ;VERRO;XXS  ;10/11/2016
3004720814005;FULL         ;ANSES/BEACH     ;COARA;0;15/07/2016
3004720816009;FULL         ;ANSES/BEACH     ;COGIA;0;15/07/2016
3004720815002;FULL         ;ANSES/BEACH     ;COMAG;0;15/07/2016
3004720817006;FULL         ;ANSES/BEACH     ;FOUAR;0;15/07/2016
3004720000002;FULL         ;ANSES/BEACH     ;FOUM ;0;15/07/2016
3004720818003;FULL         ;ANSES/BEACH     ;FOUM ;0;15/07/2016
3003930499002;FULL         ;ANSES/CHAINE    ;BRONZ;0;14/09/2015
3003930561006;FULL         ;ANSES/CHAINE    ;OR   ;0;14/09/2015
3004640617007;FULL         ;ANSES/CHAINE    ;SILVE;0;10/08/2016
8050846003156;FULL         ;ANSES/CHAINE/F.C;BLACK;L    ;16/02/2018
3006380276018;FULL         ;ANSES/CHAINE/F.C;BLACK;M    ;16/02/2018
3006380276001;FULL         ;ANSES/CHAINE/F.C;BLACK;S    ;16/02/2018
3006380276032;FULL         ;ANSES/CHAINE/F.C;BLACK;XL   ;16/02/2018
8050846003163;FULL         ;ANSES/CHAINE/F.C;RED  ;L    ;16/02/2018
3006380395016;FULL         ;ANSES/CHAINE/F.C;RED  ;M    ;16/02/2018
3006380395009;FULL         ;ANSES/CHAINE/F.C;RED  ;S    ;16/02/2018
3006380395030;FULL         ;ANSES/CHAINE/F.C;RED  ;XL   ;16/02/2018
3006380479020;FULL         ;ANSES/CHAINE/F.C;ROSMO;L    ;16/02/2018
3006380479013;FULL         ;ANSES/CHAINE/F.C;ROSMO;M    ;16/02/2018
8050846005327;FULL         ;ANSES/CHAINE/F.C;ROSMO;S    ;16/02/2018
3006380479037;FULL         ;ANSES/CHAINE/F.C;ROSMO;XL   ;16/02/2018
8050846003170;FULL         ;ANSES/CHAINE/F.C;SANGR;L    ;16/02/2018
3006381313019;FULL         ;ANSES/CHAINE/F.C;SANGR;M    ;16/02/2018
3006381313002;FULL         ;ANSES/CHAINE/F.C;SANGR;S    ;16/02/2018
3006381313033;FULL         ;ANSES/CHAINE/F.C;SANGR;XL   ;16/02/2018
3006381568020;FULL         ;ANSES/CHAINE/F.C;SKYWA;L    ;16/02/2018
3006381568013;FULL         ;ANSES/CHAINE/F.C;SKYWA;M    ;16/02/2018
8050846005310;FULL         ;ANSES/CHAINE/F.C;SKYWA;S    ;16/02/2018
3006381568037;FULL         ;ANSES/CHAINE/F.C;SKYWA;XL   ;16/02/2018
8050846003194;FULL         ;ANSES/CHAINE/F.C;WHITE;L    ;16/02/2018
3006380440013;FULL         ;ANSES/CHAINE/F.C;WHITE;M    ;16/02/2018
