XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGS112-MAS02-227; O bag 4 SEASONS | ss '18;26; sacca interna coulisse O bag;OBAGS112;MAS02;227;bianco/nero;white/black;
CodeBarre;OBAGS112-MAS02-233; O bag 4 SEASONS | ss '18;26; sacca interna coulisse O bag;OBAGS112;MAS02;233;bluette/nero;bluette/black;
CodeBarre;OBAGS112-MAS02-234; O bag 4 SEASONS | ss '18;26; sacca interna coulisse O bag;OBAGS112;MAS02;234;mela/grigio;mela/grey;
CodeBarre;OBAGS018-TESP5-054; O bag 4 SEASONS | ss '18;27; sacca interna zip O bag;OBAGS018;TESP5;054;naturale;natural;
CodeBarre;OBAGS018-TESP5-055; O bag 4 SEASONS | ss '18;27; sacca interna zip O bag;OBAGS018;TESP5;055;nero;black;
CodeBarre;OBAGS018-TESP5-017; O bag 4 SEASONS | ss '18;27; sacca interna zip O bag;OBAGS018;TESP5;017;blu navy;navy blue;
CodeBarre;OBAGS018-TESP7-422; O bag 4 SEASONS | ss '18;28; sacca interna zip O bag;OBAGS018;TESP7;422;sangria;sangria;
CodeBarre;OBAGS018-TESP7-125; O bag 4 SEASONS | ss '18;28; sacca interna zip O bag;OBAGS018;TESP7;125;multicolor;multicolor;
CodeBarre;OBAGS118-MAS02-055; O bag 4 SEASONS | ss '18;29; sacca interna coulisse O bag;OBAGS118;MAS02;055;nero;black;
CodeBarre;OBAGS118-MAS02-159; O bag 4 SEASONS | ss '18;29; sacca interna coulisse O bag;OBAGS118;MAS02;159;total black;total black;
CodeBarre;OBAGS118-MAS02-237; O bag 4 SEASONS | ss '18;29; sacca interna coulisse O bag;OBAGS118;MAS02;237;arancione/nero;orange/black;
CodeBarre;OBAGS118-MAS02-235; O bag 4 SEASONS | ss '18;29; sacca interna coulisse O bag;OBAGS118;MAS02;235;giallo/grigio;yellow/grey;
CodeBarre;OBAGS118-MAS02-236; O bag 4 SEASONS | ss '18;29; sacca interna coulisse O bag;OBAGS118;MAS02;236;arancione/grigio;orange/grey;
CodeBarre;OBAGS028-TESP5-054; O bag 4 SEASONS | ss '18;30; sacca interna zip O bag;OBAGS028;TESP5;054;naturale;natural;
CodeBarre;OBAGS028-TESP5-055; O bag 4 SEASONS | ss '18;30; sacca interna zip O bag;OBAGS028;TESP5;055;nero;black;
CodeBarre;OBAGS028-TESP5-017; O bag 4 SEASONS | ss '18;30; sacca interna zip O bag;OBAGS028;TESP5;017;blu navy;navy blue;
CodeBarre;OBAGS028-TESQ1-125; O bag 4 SEASONS | ss '18;31; sacca interna zip O bag;OBAGS028;TESQ1;125;multicolor;multicolor;
CodeBarre;OBAGS028-TESQ1-486; O bag 4 SEASONS | ss '18;31; sacca interna zip O bag;OBAGS028;TESQ1;486;pink;pink;
CodeBarre;OBAGS028-TESQ4-215; O bag 4 SEASONS | ss '18;32; sacca interna zip O bag;OBAGS028;TESQ4;215;crema;cream;
CodeBarre;OBAGS036-TES01-054; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;054;naturale;natural;
CodeBarre;OBAGS036-TES01-347; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;347;cedro;cedro;
CodeBarre;OBAGS036-TES01-008; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;008;bianco;white;
CodeBarre;OBAGS036-TES01-486; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;486;pink;pink;
CodeBarre;OBAGS036-TES01-055; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;055;nero;black;
CodeBarre;OBAGS036-TES01-484; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;484;coral;coral;
CodeBarre;OBAGS036-TES01-479; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;479;skyway;skyway;
CodeBarre;OBAGS036-TES01-026; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;026;cobalto;cobalt blue;
CodeBarre;OBAGS036-TES01-422; O bag 4 SEASONS | ss '18;33; sacca interna zip O bag twist;OBAGS036;TES01;422;sangria;sangria;
CodeBarre;OBAGS036-TESP8-125; O bag 4 SEASONS | ss '18;34; sacca interna zip O bag twist;OBAGS036;TESP8;125;multicolor;multicolor;
CodeBarre;OBAGS036-TESP8-055; O bag 4 SEASONS | ss '18;34; sacca interna zip O bag twist;OBAGS036;TESP8;055;nero;black;
CodeBarre;OBAGS036-TESQ7-486; O bag 4 SEASONS | ss '18;35; sacca interna zip O bag twist;OBAGS036;TESQ7;486;pink;pink;
CodeBarre;OBAGS036-TESQ7-125; O bag 4 SEASONS | ss '18;35; sacca interna zip O bag twist;OBAGS036;TESQ7;125;multicolor;multicolor;
CodeBarre;OBAGS037-TES01-054; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;054;naturale;natural;
CodeBarre;OBAGS037-TES01-486; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;486;pink;pink;
CodeBarre;OBAGS037-TES01-008; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;008;bianco;white;
CodeBarre;OBAGS037-TES01-484; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;484;coral;coral;
CodeBarre;OBAGS037-TES01-055; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;055;nero;black;
CodeBarre;OBAGS037-TES01-479; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;479;skyway;skyway;
CodeBarre;OBAGS037-TES01-026; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;026;cobalto;cobalt blue;
CodeBarre;OBAGS037-TES01-076; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;076;rosso;red;
CodeBarre;OBAGS037-TES01-422; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;422;sangria;sangria;
CodeBarre;OBAGS037-TES01-017; O bag 4 SEASONS | ss '18;36; sacca interna zip O bag twist;OBAGS037;TES01;017;blu navy;navy blue;
CodeBarre;OBAGS037-TESP7-422; O bag 4 SEASONS | ss '18;37; sacca interna zip O bag twist;OBAGS037;TESP7;422;sangria;sangria;
CodeBarre;OBAGS037-TESP7-125; O bag 4 SEASONS | ss '18;37; sacca interna zip O bag twist;OBAGS037;TESP7;125;multicolor;multicolor;
CodeBarre;OBAGS037-TESQ4-055; O bag 4 SEASONS | ss '18;38; sacca interna zip O bag twist;OBAGS037;TESQ4;055;nero;black;
CodeBarre;OBAGS037-TESQ4-215; O bag 4 SEASONS | ss '18;38; sacca interna zip O bag twist;OBAGS037;TESQ4;215;crema;cream;
CodeBarre;OBAGS121-TESP8-422; O bag 4 SEASONS | ss '18;39; sacca interna coulisse O;OBAGS121;TESP8;422;sangria;sangria;
CodeBarre;OBAGS121-TESP8-055; O bag 4 SEASONS | ss '18;39; sacca interna coulisse O;OBAGS121;TESP8;055;nero;black;
CodeBarre;OBAGS121-TESQ4-486; O bag 4 SEASONS | ss '18;40; sacca interna coulisse O;OBAGS121;TESQ4;486;pink;pink;
CodeBarre;OBAGS121-TESQ4-215; O bag 4 SEASONS | ss '18;40; sacca interna coulisse O;OBAGS121;TESQ4;215;crema;cream;
CodeBarre;OBAGS121-TESP7-125; O bag 4 SEASONS | ss '18;41; sacca interna coulisse O;OBAGS121;TESP7;125;multicolor;multicolor;
CodeBarre;OBAGB439-EVS33-008; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;008;bianco;white;
