XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
8050846039940;OBAGB206-EVS00-540; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;540;curry;curry
8056099179730;OBAGB206-EVS00-050; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;50;melanzana;aubergine
8056098534172;OBAGB206-EVS00-038; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;38;grafite;graphite
CodeBarre;OBAGB206-EVS00-055; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;55;nero;black
CodeBarre;OBAGB206-EVS00-371; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;371;latte;milk
CodeBarre;OBAGB206-EVS00-071; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;71;roccia;rock
CodeBarre;OBAGB206-EVS00-078; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;78;sabbia;sand
CodeBarre;OBAGB206-EVS00-076; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;76;rosso;red
8050846039353;OBAGB024-EVS00-002; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;2;amaranto;amaranth
CodeBarre;OBAGB024-EVS00-017; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;17;blu navy;navy blue
8050846016279;OBAGB024-EVS00-485; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;485;atlantic;atlantic
8050846039360;OBAGB024-EVS00-018; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;18;bordeaux;burgundy
8050846039384;OBAGB024-EVS00-463; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;463;blu maya;maya blue
8050846039391;OBAGB024-EVS00-540; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;540;curry;curry
8050846039377;OBAGB024-EVS00-050; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;50;melanzana;aubergine
8050846011410;OBAGB024-EVS00-076; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;76;rosso;red
CodeBarre;OBAGB024-EVS00-055; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;55;nero;black
CodeBarre;OBAGB024-EVS00-371; O bag fall 2018;15; scocca O pocket micro EVA;OBAGB024;EVS00;371;latte;milk
