XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;SHOUC106-ECS08-061; O bag 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;61;oro;gold
CodeBarre;SHOUC106-ECS08-348; O bag 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;348;ottone invecchiato;aged brass
CodeBarre;SHOUC006-MTS01-004; O bag 2018 .continuativo carry over;21; tracolla catena lunga;SHOUC006;MTS01;4;argento;silver
CodeBarre;SHOUC400-MTS01-008; O bag 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;8;bianco;white
CodeBarre;SHOUC400-MTS01-054; O bag 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;54;naturale;natural
CodeBarre;SHOUC400-MTS01-055; O bag 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;55;nero;black
CodeBarre;SHOUG006-TES01-008; O bag 2018 .continuativo carry over;22; tracolla lunga O pocket;SHOUG006;TES01;8;bianco;white
CodeBarre;SHOUG006-ECS00-055; O bag 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;55;nero;black
CodeBarre;SHOUG006-ECS00-054; O bag 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;54;naturale;natural
CodeBarre;SHOUG006-ECS00-084; O bag 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;84;testa di moro;dark brown
CodeBarre;SHOUG000-PES00-008; O bag 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;8;bianco;white
CodeBarre;SHOUG000-PES00-055; O bag 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;55;nero;black
CodeBarre;SHOUG000-PES00-054; O bag 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;54;naturale;natural
CodeBarre;SHOUG000-PES00-084; O bag 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;84;testa di moro;dark brown
CodeBarre;SHOUG617ECS00--054; O bag 2018 .continuativo carry over;24; tracolla O moon ecopelle;SHOUG617ECS00;;54;naturale;natural
CodeBarre;SHOUG617ECS00--084; O bag 2018 .continuativo carry over;24; tracolla O moon ecopelle;SHOUG617ECS00;;84;testa di moro;dark brown
CodeBarre;SHOUG617ECS00--055; O bag 2018 .continuativo carry over;24; tracolla O moon ecopelle;SHOUG617ECS00;;55;nero;black
CodeBarre;SHOUG617ECS00--055; O bag 2018 .continuativo carry over;24; tracolla O moon ecopelle;SHOUG617ECS00;;55;nero;black
CodeBarre;SHOUG617ECS00--084; O bag 2018 .continuativo carry over;24; tracolla O moon ecopelle;SHOUG617ECS00;;84;testa di moro;dark brown
CodeBarre;SHOUG617ECS00--055; O bag 2018 .continuativo carry over;25; tracolla O moon ecopelle;SHOUG617ECS00;;55;vernice nero + oro;patent black + gold
CodeBarre;SHOUA203-ECS08-084; O bag 2018 .continuativo carry over;25; accessorio goccia ecopelle;SHOUA203;ECS08;84;testa di moro + ottone;dark brown + aged brass
CodeBarre;SHOUA203-ECS08-055; O bag 2018 .continuativo carry over;25; accessorio goccia ecopelle;SHOUA203;ECS08;55;nero + argento;black + silver
CodeBarre;SHOUA203-ECS00-054; O bag 2018 .continuativo carry over;26; accessorio goccia ecopelle;SHOUA203;ECS00;54;naturale + oro;natural + gold
CodeBarre;SHOUA306-ECS40-055; O bag 2018 .continuativo carry over;26; accessorio clip ecopelle;SHOUA306;ECS40;55;vernice nero + oro;patent black + gold
CodeBarre;SHOUA306-ECS39-055; O bag 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS39;55;nero + argento;black + silver
CodeBarre;SHOUA306-ECS42-084; O bag 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS42;84;testa di moro + ottone;dark brown + aged brass
CodeBarre;OBAGAM16-MAS00-055; O bag 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;55;nero;black
CodeBarre;OBAGAM16-MAS00-017; O bag 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;17;blu navy;navy blue
CodeBarre;OBAGAM16-MAS00-071; O bag 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;71;roccia;rock
CodeBarre;OBAGAB17-MAS00-017; O bag 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;17;blu navy;navy blue
CodeBarre;OBAGAB17-MAS00-078; O bag 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;78;sabbia;sand
CodeBarre;OBAGAB17-MAS00-055; O bag 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;55;nero;black
CodeBarre;OBAGAB17-MAS00-008; O bag 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;8;bianco;white
CodeBarre;OBAGAB17-MAS00-055; O bag 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;55;nero;black
CodeBarre;OBAGAB17-MAS00-039; O bag 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;39;grigio;grey
CodeBarre;OBAGAB17-MAS00-054; O bag 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;54;naturale;natural
CodeBarre;OBAGAB17-MAS00-009; O bag 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;9;blu;blue
CodeBarre;OBAGS001-TES01-008; O bag 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;8;bianco;white
CodeBarre;OBAGS001-TES01-055; O bag 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;55;nero;black
CodeBarre;OBAGS001-TES01-054; O bag 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;54;naturale;natural
CodeBarre;OBAGS001-TES01-009; O bag 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;9;blu;blue
CodeBarre;OBAGS002-TES01-055; O bag 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;55;nero;black
CodeBarre;OBAGS002-TES01-008; O bag 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;8;bianco;white
CodeBarre;OBAGS002-TES01-078; O bag 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;78;sabbia;sand
CodeBarre;OBAGS016-TES26-055; O bag 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;55;nero;black
CodeBarre;OBAGS016-TES26-008; O bag 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;8;bianco;white
CodeBarre;OBAGS016-TES26-078; O bag 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;78;sabbia;sand
CodeBarre;OBAGS121-TES01-054; O bag 2018 .continuativo carry over;36; sacca interna coulisse O;OBAGS121;TES01;54;naturale;natural
CodeBarre;OBAGS121-TES01-055; O bag 2018 .continuativo carry over;36; sacca interna coulisse O;OBAGS121;TES01;55;nero;black
CodeBarre;OBAGS121-TES01-008; O bag 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;8;bianco;white
CodeBarre;OBAGS121-TES01-055; O bag 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;55;nero;black
CodeBarre;OBAGS121-TES01-054; O bag 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;54;naturale;natural
CodeBarre;OBAGS018-TES26-054; O bag 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS018;TES26;54;naturale;natural
CodeBarre;OBAGS028-TES01-008; O bag 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS028;TES01;8;bianco;white
CodeBarre;OBAGS028-TES01-055; O bag 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS028;TES01;55;nero;black
CodeBarre;OBAGB019-EVS00-078; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;78;sabbia;sand
CodeBarre;OBAGB019-EVS00-371; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;371;latte;milk
CodeBarre;OBAGB019-EVS00-017; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB019-EVS00-055; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;55;nero;black
CodeBarre;OBAGB019-EVS00-017; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB019-EVS00-055; O bag 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;55;nero;black
CodeBarre;HLESZ817-ECS00-055; O bag 2018 .continuativo carry over;43; manico + spallaccio goccia;HLESZ817;ECS00;55;nero;black
CodeBarre;OBAGS019-TES01-054; O bag 2018 .continuativo carry over;43; sacca interna zip O square;OBAGS019;TES01;54;naturale;natural
