Code barre;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
CodeBarre; O bag fall 2018;39; accessorio clip ecopelle;OBAGA000;ECS40;541;verde bosco + oro;green forest + gold;
CodeBarre; O bag fall 2018;39; accessorio clip ecopelle;OBAGA000;ECS40;084;testa di moro;dark brown;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;055;nero;black;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;008;bianco;white;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;004;argento;silver;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;548;bionda;blonde;
CodeBarre; O bag fall 2018;42; accessorio clip ecopelle;OBAGA000;ECS40;039;grigio;grey;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;009;blu;blue;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;039;grigio;grey;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;055;nero;black;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;054;naturale;natural;
CodeBarre; O bag fall 2018;43; bordo O bag ecopelliccia;OBAGT001;FAS02;302;nocciola+nero;hazel - black;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;008;bianco;white;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;055;nero;black;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;009;blu;blue;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;137;bluette;bright blue;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;078;sabbia;sand;
CodeBarre; O bag fall 2018;44; bordo O bag ecopelliccia;OBAGT001;FAS08;041;grigio scuro;dark grey;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;076;rosso;red;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;540;curry;curry;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;137;bluette;bright blue;
CodeBarre; O bag fall 2018;45; bordo O bag ecopelliccia;OBAGT001;FAS23;227;bianco/nero;white - black;
CodeBarre; O bag fall 2018;46; bordo O bag ecopelliccia;OBAGT001;FAS23;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;46; bordo O bag ecopelliccia;OBAGT001;FAS23;134;antracite;anthracite;
CodeBarre; O bag fall 2018;46; bordo O bag ecopelliccia;OBAGT001;FAS31;055;nero;black;
CodeBarre; O bag fall 2018;47; bordo O bag ecopelliccia;OBAGT001;FAS36;055;nero;black;
CodeBarre; O bag fall 2018;47; bordo O bag bordo O bag;OBAGT001;LAS07;009;blu navy;blue;
CodeBarre; O bag fall 2018;47; bordo O bag bordo O bag;OBAGT001;LAS07;543;atlantic/oliva;atlantic/olive;
CodeBarre; O bag fall 2018;47; bordo O bag bordo O bag;OBAGT001;LAS07;076;rosso;red;
CodeBarre; O bag fall 2018;47; bordo O bag bordo O bag;OBAGT001;LAS07;542;bordeaux/rosa;burgundy/pink;
CodeBarre; O bag fall 2018;48; bordo O bag lana intrecciata;OBAGT001;LAS22;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;48; bordo O bag lana intrecciata;OBAGT001;LAS22;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;540;curry;curry;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;008;bianco;white;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;076;rosso;red;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;055;nero;black;
CodeBarre; O bag fall 2018;49; bordo O bag lana intrecciata;OBAGT001;LAS22;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;50; bordo O bag lana catenella;OBAGT001;LAS32;010;blu - grigio;blue - grey;
CodeBarre; O bag fall 2018;50; bordo O bag lana catenella;OBAGT001;LAS32;383;latte/nero;milk - black;
CodeBarre; O bag fall 2018;50; bordo O bag lana catenella;OBAGT001;LAS32;335;bordeaux/grigio;burgundy - grey;
CodeBarre; O bag fall 2018;50; bordo O bag lana catenella;OBAGT001;LAS32;537;grigio/verde;grey/green;
CodeBarre; O bag fall 2018;50; bordo O bag lana maxi;OBAGT001;LAS33;371;latte;milk;
CodeBarre; O bag fall 2018;50; bordo O bag lana maxi;OBAGT001;LAS33;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;50; bordo O bag lana maxi;OBAGT001;LAS33;055;nero;black;
CodeBarre; O bag fall 2018;50; bordo O bag lana maxi;OBAGT001;LAS33;137;bluette;bright blue;
CodeBarre; O bag fall 2018;51; bordo O bag tessuto riga;OBAGT001;TESQ8;549;blu navy/curry/bordeaux;navy blue/curry/burgundy;
CodeBarre; O bag fall 2018;51; bordo O bag tessuto bouclè;OBAGT001;TESQ9;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;51; bordo O bag tessuto bouclè;OBAGT001;TESQ9;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;52; bordo O bag tessuto maxi;OBAGT001;TESR2;227;bianco/nero;white - black;
CodeBarre; O bag fall 2018;52; bordo O bag tessuto spinato;OBAGT001;TESR7;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;52; bordo O bag tessuto spinato;OBAGT001;TESR7;071;roccia;rock;
CodeBarre; O bag fall 2018;52; bordo O bag tessuto spinato;OBAGT001;TESR7;076;rosso;red;
CodeBarre; O bag fall 2018;53; bordo O bag tessuto tartan;OBAGT001;TESR8;545;blu navy/verde bosco;navy blue/green forest;
CodeBarre; O bag fall 2018;53; bordo O bag tessuto tartan;OBAGT001;TESR9;552;blu navy/rame;navy blue/copper;
CodeBarre; O bag fall 2018;53; bordo O bag tessuto tartan;OBAGT001;TESR9;553;rosso/blu navy/curry;red/navy blue/curry;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;009;blu;blue;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;039;grigio;grey;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;054;naturale;natural;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;006;avorio;ivory;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;055;nero;black;
CodeBarre; O bag fall 2018;54; bordo O bag mini;OBAGT002;FAS04;004;argento;silver;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;008;bianco;white;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;055;nero;black;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;137;bluette;bright blue;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;041;grigio scuro;dark grey;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;078;sabbia;sand;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;540;curry;curry;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;076;rosso;red;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS09;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS23;137;bluette;bright blue;
CodeBarre; O bag fall 2018;55; bordo O bag mini;OBAGT002;FAS23;227;bianco/nero;white - black;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;055;nero;black;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;008;bianco;white;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;548;bionda;blonde;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS02;004;argento;silver;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS31;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;57; bordo O bag mini;OBAGT002;FAS31;134;antracite;anthracite;
CodeBarre; O bag fall 2018;58; bordo O bag mini;OBAGT002;FAS41;055;nero;black;
CodeBarre; O bag fall 2018;58; bordo O bag mini;OBAGT002;FAS36;057;blu navy/verde bosco/bordeaux;navy blue/green forest/burgundy;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;371;latte;milk;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;078;sabbia;sand;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;055;nero;black;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;137;bluette;bright blue;
CodeBarre; O bag fall 2018;59; bordo O bag mini;OBAGT002;FAS36;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;59; bordo O bag mini lana;OBAGT002;LAS13;009;blu navy;blue;
CodeBarre; O bag fall 2018;59; bordo O bag mini lana;OBAGT002;LAS13;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;59; bordo O bag mini lana;OBAGT002;LAS13;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;59; bordo O bag mini lana;OBAGT002;LAS13;540;curry;curry;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;371;latte;milk;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana rasata;OBAGT002;LAS34;055;nero;black;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana;OBAGT002;LAS32;335;bordeaux/grigio;burgundy - grey;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana;OBAGT002;LAS32;537;grigio/verde;grey/green;
CodeBarre; O bag fall 2018;60; bordo O bag mini lana;OBAGT002;LAS32;383;latte/nero;milk - black;
CodeBarre; O bag fall 2018;61; bordo O bag mini lana;OBAGT002;LAS32;549;blu navy/curry/bordeaux;navy blue/curry/burgundy;
CodeBarre; O bag fall 2018;61; bordo O bag mini tessuto;OBAGT002;TESQ8;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;61; bordo O bag mini tessuto;OBAGT002;TESQ8;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;62; bordo O bag mini tessuto;OBAGT002;TESQ9;227;bianco/nero;white - black;
CodeBarre; O bag fall 2018;62; bordo O bag mini tessuto;OBAGT002;TESQ9;076;rosso;red;
CodeBarre; O bag fall 2018;62; bordo O bag mini tessuto;OBAGT002;TESQ9;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;62; bordo O bag mini tessuto;OBAGT002;TESQ9;071;roccia;rock;
CodeBarre; O bag fall 2018;63; bordo O bag mini tessuto;OBAGT002;TESR7;545;blu navy/verde bosco;navy blue/green forest;
CodeBarre; O bag fall 2018;63; bordo O bag mini tessuto;OBAGT002;TESR9;552;blu navy/rame;navy blue/copper;
CodeBarre; O bag fall 2018;63; bordo O bag mini tessuto;OBAGT002;TESR9;553;rosso/blu navy/curry;red/navy blue/curry;
CodeBarre; O bag fall 2018;64; bordo O bag mini tessuto;OBAGT002;TESR9;004;argento;silver;
CodeBarre; O bag fall 2018;64; bordo O bag mini tessuto;OBAGT002;TESR9;055;nero;black;
CodeBarre; O bag fall 2018;64; bordo O bag mini tessuto;OBAGT002;TESR9;548;bionda;blonde;
CodeBarre; O bag fall 2018;64; bordo O bag mini tessuto;OBAGT002;TESR9;008;bianco;white;
CodeBarre; O bag fall 2018;64; bordo O bag mini tessuto;OBAGT002;TESR9;009;blu;blue;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;137;bluette;bright blue;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;540;curry;curry;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;371;latte;milk;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;65; bordo O bag knit ecopelliccia;OBAGT031;FAS04;055;nero;black;
CodeBarre; O bag fall 2018;66; bordo O bag knit lana rasata;OBAGT031;LAS34;004;argento;silver;
CodeBarre; O bag fall 2018;66; bordo O bag knit lana rasata;OBAGT031;LAS34;055;nero;black;
CodeBarre; O bag fall 2018;66; bordo O bag knit lana rasata;OBAGT031;LAS34;548;bionda;blonde;
CodeBarre; O bag fall 2018;66; bordo O bag knit lana rasata;OBAGT031;LAS34;008;bianco;white;
CodeBarre; O bag fall 2018;66; bordo O bag knit lana rasata;OBAGT031;LAS34;009;blu;blue;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;137;bluette;bright blue;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;540;curry;curry;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;371;latte;milk;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;67; bordo O bag knit mini;OBAGT032;FAS04;055;nero;black;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;055;nero;black;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;008;bianco;white;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;004;argento;silver;
CodeBarre; O bag fall 2018;68; bordo O bag knit mini lana;OBAGT032;LAS34;548;bionda;blonde;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;009;blu;blue;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;055;nero;black;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;054;naturale;natural;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;540;curry;curry;
CodeBarre; O bag fall 2018;69; bordo O bag urban;OBAGT033;FAS02;076;rosso;red;
CodeBarre; O bag fall 2018;70; bordo O bag urban;OBAGT033;FAS23;055;nero;black;
CodeBarre; O bag fall 2018;70; bordo O bag urban;OBAGT033;FAS23;371;latte;milk;
CodeBarre; O bag fall 2018;70; bordo O bag urban;OBAGT033;FAS23;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;70; bordo O bag urban;OBAGT033;FAS23;055;nero;black;
CodeBarre; O bag fall 2018;70; bordo O bag urban;OBAGT033;FAS23;078;sabbia;sand;
CodeBarre; O bag fall 2018;71; bordo O bag urban lana;OBAGT033;LAS13;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;71; bordo O bag urban lana;OBAGT033;LAS13;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;71; bordo O bag urban lana;OBAGT033;LAS13;540;curry;curry;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;055;nero;black;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;137;bluette;bright blue;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;371;latte;milk;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;075;rosa smoke;rose smoke;
CodeBarre; O bag fall 2018;74; bordo O bag urban lana;OBAGT033;LAS15;041;grigio scuro;dark grey;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;055;nero;black;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;137;bluette;bright blue;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;371;latte;milk;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;086;tortora;dove - grey;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;075;rosa smoke;rose smoke;
CodeBarre; O bag fall 2018;75; cover O bag ecopelliccia;OBAGC101;FAS01;041;grigio scuro;dark grey;
CodeBarre; O bag fall 2018;78; cover O bag mini;OBAGC102;FAS01;137;bluette;bright blue;
CodeBarre; O bag fall 2018;78; cover O bag mini;OBAGC102;FAS01;371;latte;milk;
CodeBarre; O bag fall 2018;78; cover O bag mini;OBAGC102;FAS01;009;blu;blue;
CodeBarre; O bag fall 2018;78; cover O bag mini;OBAGC102;FAS01;055;nero;black;
CodeBarre; O bag fall 2018;78; cover O bag mini;OBAGC102;FAS01;227;bianco/nero;white - black;
CodeBarre; O bag fall 2018;79; sacca interna zip O bag;OBAGS001;TES73;550;sabbia/testa di moro;sand/dark brown;
CodeBarre; O bag fall 2018;79; sacca interna zip O bag;OBAGS001;TES73;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;79; sacca interna zip O bag;OBAGS001;TES73;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;79; sacca interna zip O bag;OBAGS001;TES73;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;80; sacca interna zip O bag;OBAGS001;TESS2;258;beige;beige;
CodeBarre; O bag fall 2018;80; sacca interna zip O bag;OBAGS001;TESS2;055;nero;black;
