8050538590919;OBAGB206-EVS00-018;p014-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8050846039933;OBAGB206-EVS00-463;p014-1-05;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8050846039940;OBAGB206-EVS00-540;p014-1-06;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8056099179730;OBAGB206-EVS00-050;p014-1-07;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8056098534172;OBAGB206-EVS00-038;p014-1-08;grafite;graphite;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
CodeBarre;OBAGB206-EVS00-055;p014-1-09;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
CodeBarre;OBAGB206-EVS00-371;p014-1-10;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
CodeBarre;OBAGB206-EVS00-071;p014-1-11;roccia;rock;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
CodeBarre;OBAGB206-EVS00-078;p014-1-12;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8056099178863;OBAGB206-EVS00-076;p014-1-13;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8050846039353;OBAGB024-EVS00-002;p015-1-01;amaranto;amaranth;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
CodeBarre;OBAGB024-EVS00-017;p015-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846016279;OBAGB024-EVS00-485;p015-1-03;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846039360;OBAGB024-EVS00-018;p015-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846039384;OBAGB024-EVS00-463;p015-1-05;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846039391;OBAGB024-EVS00-540;p015-1-06;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846039377;OBAGB024-EVS00-050;p015-1-07;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
8050846011410;OBAGB024-EVS00-076;p015-1-08;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
CodeBarre;OBAGB024-EVS00-055;p015-1-09;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
CodeBarre;OBAGB024-EVS00-371;p015-1-10;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O pocket micro EVA
