Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag fall 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;34; sacca interna zip O bag mini;OBAGS002;TES01;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;055;;nero;black;
 O bag fall 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;35; sacca interna zip O moon;OBAGS016;TES26;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;36; sacca interna coulisse O;OBAGS121;TES01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;36; sacca interna coulisse O;OBAGS121;TES01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;37; sacca interna coulisse O;OBAGS121;TES01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS018;TES26;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS028;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;38; sacca interna zip O bag;OBAGS028;TES01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;42; scocca O square;OBAGB019;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;43; manico + spallaccio goccia;HLESZ817;ECS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;43; sacca interna zip O square;OBAGS019;TES01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;063;;ottanio;teal;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;041;;grigio scuro;dark grey;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;044;;lime;lime;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;183;;viola;violet;
 O bag fall 2018 .continuativo carry over;46; O clock meccanismo mirror;OCLKD001;MES03;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;020;;bronzo;bronze;
 O bag fall 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;061;;oro;gold;
 O bag fall 2018 .continuativo carry over;47; O clock meccanismo soleil;OCLKD001;MES04;061;;oro;gold;
 O bag fall 2018 .continuativo carry over;47; O clock meccanismo soleil;OCLKD001;MES04;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;186;;bianco mix;white mix;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;055;;nero;black;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;077;;rubino;ocean;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;014;;blu elettrico;electric blue;
 O bag fall 2018 .continuativo carry over;48; O clock meccanismo pavé;OCLKD001;MES02;039;;grigio;grey;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo crystal;OCLKD001;MES09;061;;oro;gold;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo crystal;OCLKD001;MES09;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;055;;nero;black;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;013;;blu capri;capri blue;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;041;;grigio scuro;dark grey;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;133;;grigio chiaro;light grey;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;041;;grigio scuro;dark grey;
