1;;Fichier;;2019-09-Fall19/FAT_2019_50_0001933.txt;;;;;;;;;;;;;;
2;;Boutique;;TOULOUSE;;;;;;;;;;;;;;
3;;Ref. facture;;2019 50 1933 17/09/2019;;;;;;;;;;;;;;
4;;Total facture;;6224,71;;;;;;;;;;;;;;
5;;Total produits;;;;;;;;;;;;;;;;
6;;Cumul montant;;6132.71;;Etat courant = 'lectureCouleur';;;;;;;;;;;;
7;ANOMALIE MONTANT;;6132,71;;;;;;;;;;;;;;;
'031;64;8,05085E+12;OBAGB001-EVS00-616;CORPS O BAG EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;ice;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'032;58;8,05045E+12;OBAGB002-EVS00-076;CORPS O BAG MINI EVA COMPOUND;UNICA;2;14,4;28,8;MINIOBODY       ;RED  ;0;rosso;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'033;153;8,05085E+12;OBAGB002-EVS00-132;CORPS O BAG MINI EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;biscotto;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'034;116;8,05085E+12;OBAGB002-EVS00-614;CORPS O BAG MINI EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;imperial blu;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'035;205;8,05085E+12;OBAGB002-EVS00-615;CORPS O BAG MINI EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;military;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'036;49;8,05045E+12;OBAGB002-EVS00-616;CORPS O BAG MINI EVA COMPOUND;UNICA;2;14,4;28,8;MINIOBODY       ;RED  ;0;ice;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'037;163;8,05085E+12;OBAGB002-EVS18-055;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;2;15,6;31,2;MINIOBODYCHEVRON;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'038;209;8,05085E+12;OBAGB002-EVS18-067;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;2;15,6;31,2; ; ; ;phard;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'039;133;8,05085E+12;OBAGB002-EVS18-078;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;2;15,6;31,2; ; ; ;sabbia;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'040;54;8,05085E+12;OBAGB002-EVS18-371;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;2;15,6;31,2;MINIOBODYCHEVRON;WHITE;0;latte;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'041;189;8,05085E+12;OBAGB002-EVS18-614;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;2;15,6;31,2; ; ; ;imperial blu;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
