8050846042407;HLESF800-ECS94-075; O bag winter 2018;p028-03; manico con fibbia a goccia;HLESF800;ECS94;075;rosa smoke;rose smoke
8050846042391;HLESF800-ECS94-133; O bag winter 2018;p028-04; manico con fibbia a goccia;HLESF800;ECS94;133;grigio chiaro;light grey
8050846042377;HLESF800-ECS94-134; O bag winter 2018;p028-05; manico con fibbia a goccia;HLESF800;ECS94;134;antracite;anthracite
8050846049215;HLESF800-ECS94-559; O bag winter 2018;p028-06; manico con fibbia a goccia;HLESF800;ECS94;559;rame;copper
8050538591503;HLESFC00-ECS08-009; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;9;blu;blue
8050846009875;HLESFC00-ECS08-009; O bag winter 2018;p027-01; manico con fibbia corto;HLESFC00;ECS08;009;blu;blue
8050450212388;HLESFC00-ECS08-018; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;18;bordeaux;burgundy
8050450212388;HLESFC00-ECS08-018; O bag winter 2018;p027-02; manico con fibbia corto;HLESFC00;ECS08;018;bordeaux;burgundy
8050538591534;HLESFC00-ECS08-055; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;55;nero;black
8050450212395;HLESFC00-ECS08-055; O bag winter 2018;p027-03; manico con fibbia corto;HLESFC00;ECS08;055;nero;black
8050538591541;HLESFC00-ECS08-084; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;84;testa di moro;dark brown
8050450212401;HLESFC00-ECS08-084; O bag winter 2018;p027-04; manico con fibbia corto;HLESFC00;ECS08;084;testa di moro;dark brown
8050450212418;HLESFC00-ECS08-089; O bag winter 2018;p027-05; manico con fibbia corto;HLESFC00;ECS08;089;verde;green
8050450212425;HLESFC00-ECS08-183; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;183;viola;violet
8058983594889;HLESG000-ECS04-026; O bag spring 19;24; Manico lungo nappina;HLESG000;ECS04;26;cobalto;cobalt blue
8058333583648;HLESG000-ECS04-183; O bag spring 19;24; Manico lungo nappina;HLESG000;ECS04;183;viola;violet
8050846033924;HLESG000-ECS83-017; O bag fall 2018;20; manico lungo ecopelle con;HLESG000;ECS83;17;blu navy;navy blue
8050846033917;HLESG000-ECS83-018; O bag fall 2018;20; manico lungo ecopelle con;HLESG000;ECS83;18;bordeaux;burgundy
