CodeBarre;ACCEC018-EVS06-371; .capsule farfalle 2018;17; accessorio portachiavi;ACCEC018;EVS06;371;latte;milk
CodeBarre;ACCEC019-EVS34-026; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;026;cobalto;cobalto
CodeBarre;ACCEC019-EVS34-075; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;075;rosa smoke;rosa smoke
CodeBarre;ACCEC019-EVS34-347; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;347;cedro;cedro
CodeBarre;ACCEC019-EVS34-371; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;371;latte;milk
CodeBarre;ACCEC019-EVS34-479; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;479;skyway;skyway
CodeBarre;ACCEC019-EVS34-484; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;484;coral;coral
CodeBarre;ACCEC019-EVS34-485; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;485;atlantic;atlantic
CodeBarre;ACCEC019-EVS34-486; .capsule farfalle 2018;18; accessorio portachiavi;ACCEC019;EVS34;486;pink;pink
CodeBarre;ACCEC021-EVS00-004; .capsule farfalle 2018;19; accessorio farfalla eva;ACCEC021;EVS00;004;argento;argento
8050846060692;ACCEC022-MAS05-026; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;26;cobalto;cobalt blue
8050846060715;ACCEC022-MAS05-088; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;88;turchese;turquoise
8050846060722;ACCEC022-MAS05-112; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;112;purple;purple
8050846060678;ACCEC022-MAS05-486; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;486;pink;pink
CodeBarre;ACCEC022-MAS05-587; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;587;celery green;celery green
8050846060685;ACCEC022-MAS05-588; O bag spring 19;100; accessorio Portachiavi fiore;ACCEC022;MAS05;588;orchidea;orchid
CodeBarre;ACCEC023-EVS30-347; O bag summer '19;130; accessorio portachiavi;ACCEC023;EVS30;347;cedro;citrus
CodeBarre;ACCEC024-EVS30-486; O bag summer '19;131; accessorio portachiavi;ACCEC024;EVS30;486;pink;pink
CodeBarre;ACCEC025-EVS30-089; O bag summer '19;130; accessorio portachiavi palma;ACCEC025;EVS30;089;verde;green
CodeBarre;ACCEC301-MTS44-004; O bag .capsule xmas 18;18; accessorio charms o click;ACCEC301;MTS44;004;argento;silver
CodeBarre;ACCEC301-MTS44-061; O bag .capsule xmas 18;18; accessorio charms o click;ACCEC301;MTS44;061;oro;gold
CodeBarre;ACCEC303-MTS44-004; O bag .capsule xmas 18;16; accessorio charms o click;ACCEC303;MTS44;004;argento;silver
CodeBarre;ACCEC303-MTS44-004; O bag .capsule xmas 18;16; accessorio charms o click;ACCEC303;MTS44;004;argento;silver
CodeBarre;ACCEC303-MTS44-061; O bag .capsule xmas 18;16; accessorio charms o click;ACCEC303;MTS44;061;oro;gold
CodeBarre;ACCEC303-MTS44-061; O bag .capsule xmas 18;16; accessorio charms o click;ACCEC303;MTS44;061;oro;gold
CodeBarre;ACCEC304-MTS44-004; O bag .capsule xmas 18;17; accessorio charms o click;ACCEC304;MTS44;004;argento;silver
CodeBarre;ACCEC304-MTS44-004; O bag .capsule xmas 18;17; accessorio charms o click;ACCEC304;MTS44;004;argento;silver
CodeBarre;ACCEC304-MTS44-061; O bag .capsule xmas 18;17; accessorio charms o click;ACCEC304;MTS44;061;oro;gold
CodeBarre;ACCEC304-MTS44-061; O bag .capsule xmas 18;17; accessorio charms o click;ACCEC304;MTS44;061;oro;gold
CodeBarre;ACCEF001-TESF4-478; O bag spring 2018;71; fascia bracciale foulard;ACCEF001;TESF4;478;bluette/rosso;bright blue/red
CodeBarre;ACCEF001-TESF5-474; O bag spring 2018;72; fascia bracciale foulard;ACCEF001;TESF5;474;bianco/bluette;hwite/bright blue
CodeBarre;ACCEF001-TESF6-227; O bag spring 2018;76; fascia bracciale foulard;ACCEF001;TESF6;227;bianco/nero;white/black
CodeBarre;ACCEF001-TESJ6-089; O bag summer 2018;67; accessori fascia bracciale;ACCEF001;TESJ6;089;verde;green
CodeBarre;ACCEF001-TESJ6-422; O bag summer 2018;67; accessori fascia bracciale;ACCEF001;TESJ6;422;sangria;sangria
CodeBarre;ACCEN001-MTS01-004; O bag fall 19;144; accessori collana O bag;ACCEN001;MTS01;004;argento;silver
CodeBarre;ACCEN001-MTS01-004; O bag spring 19;100; accessori collana O bag;ACCEN001;MTS01;4;argento;silver
CodeBarre;ACCEN001-MTS01-004; O bag summer '19;131; accessori collana o bag;ACCEN001;MTS01;004;argento;silver
CodeBarre;ACCEN001-MTS01-026; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;026;cobalto;cobalt
CodeBarre;ACCEN001-MTS01-026; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;026;cobalto;cobalt
CodeBarre;ACCEN001-MTS01-026; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;026;cobalto;cobalt
CodeBarre;ACCEN001-MTS01-061; O bag fall 19;144; accessori collana O bag;ACCEN001;MTS01;061;oro;gold
CodeBarre;ACCEN001-MTS01-061; O bag spring 19;100; accessori collana O bag;ACCEN001;MTS01;61;oro;gold
CodeBarre;ACCEN001-MTS01-061; O bag summer '19;131; accessori collana o bag;ACCEN001;MTS01;061;oro;gold
CodeBarre;ACCEN001-MTS01-062; O bag fall 19;144; accessori collana O bag;ACCEN001;MTS01;062;oro rosa;pink gold
CodeBarre;ACCEN001-MTS01-062; O bag spring 19;100; accessori collana O bag;ACCEN001;MTS01;62;oro rosa;pink gold
CodeBarre;ACCEN001-MTS01-062; O bag summer '19;131; accessori collana o bag;ACCEN001;MTS01;062;oro rosa;pink gold
CodeBarre;ACCEN001-MTS01-075; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;075;rosa smoke;smoke pink
CodeBarre;ACCEN001-MTS01-075; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;075;rosa smoke;smoke pink
CodeBarre;ACCEN001-MTS01-075; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;075;rosa smoke;smoke pink
CodeBarre;ACCEN001-MTS01-075; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;075;rosa smoke;smoke pink
CodeBarre;ACCEN001-MTS01-088; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;088;turchese;turquoise
CodeBarre;ACCEN001-MTS01-088; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;088;turchese;turquoise
CodeBarre;ACCEN001-MTS01-088; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;088;turchese;turquoise
CodeBarre;ACCEN001-MTS01-484; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;484;coral;coral
CodeBarre;ACCEN001-MTS01-588; O bag summer '19;132; accessori collana o bag;ACCEN001;MTS01;588;orchidea;orchid
CodeBarre;ACCEO001-FAS23-055; O bag fall 2018;132; accessori pendaglio pon pon;ACCEO001;FAS23;55;nero;black
CodeBarre;ACCEO001-FAS23-227; O bag fall 2018;132; accessori pendaglio pon pon;ACCEO001;FAS23;227;bianco/nero;white - black
CodeBarre;ACCEO001-FAS39-055; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;055;nero;black
CodeBarre;ACCEO001-FAS39-076; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;076;rosso;red
CodeBarre;ACCEO001-FAS39-076; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;076;rosso;red
CodeBarre;ACCEO001-FAS39-089; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;089;verde;green
CodeBarre;ACCEO001-FAS39-258; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;258;beige;beige
CodeBarre;ACCEO001-FAS39-371; O bag Christmas capsule 2017;22; pendaglio pon pon;ACCEO001;FAS39;371;latte;milk
CodeBarre;ACCEO001-TES23-026; O bag spring 2018;159; accessori pendaglio pon pon;ACCEO001;TES23;026;blu cobalto;cobalt blue
CodeBarre;ACCEO112-FAS57-000; O bag .capsule xmas 18;18; Portachiavi pon pon + fiore;ACCEO112;FAS57;000;tortora;turtledove
CodeBarre;ACCEO112-FAS57-055; O bag .capsule xmas 18;18; Portachiavi pon pon + fiore;ACCEO112;FAS57;055;nero;black
CodeBarre;ACCEO112-FAS57-076; O bag .capsule xmas 18;18; Portachiavi pon pon + fiore;ACCEO112;FAS57;076;rosso;red
CodeBarre;ACCEO112-FAS57-371; O bag .capsule xmas 18;18; Portachiavi pon pon + fiore;ACCEO112;FAS57;371;latte;milk
CodeBarre;ACCEO113-MAS00-008; O bag fall 19;144; accessorio portachiavi;ACCEO113;MAS00;008;bianco;white
CodeBarre;ACCEO113-MAS00-055; O bag fall 19;144; accessorio portachiavi;ACCEO113;MAS00;055;nero;black
CodeBarre;ACCEO113-MAS00-076; O bag fall 19;144; accessorio portachiavi;ACCEO113;MAS00;076;rosso;red
CodeBarre;ACCEO113-MAS00-137; O bag fall 19;144; accessorio portachiavi;ACCEO113;MAS00;137;bluette;bluette
CodeBarre;ACCEO113-MAS00-144; O bag fall 19;144; accessorio portachiavi;ACCEO113;MAS00;144;ginestra;broom
CodeBarre;ACCEO114-MAS00-076; O bag .capsule xmas 18;19; aaccessorio portachiavi;ACCEO114;MAS00;076;rosso;red
CodeBarre;ACCEO114-MAS00-076; O bag .capsule xmas 18;19; aaccessorio portachiavi;ACCEO114;MAS00;076;rosso;red
CodeBarre;ACCEP001-ECSE4-055; O bag .capsule xmas 18;18; accessorio pochette;ACCEP001;ECSE4;055;nero;black
CodeBarre;ACCEP001-ECSE4-076; O bag .capsule xmas 18;18; accessorio pochette;ACCEP001;ECSE4;076;rosso;red
CodeBarre;ACCEP001-ECSE4-371; O bag .capsule xmas 18;18; accessorio pochette;ACCEP001;ECSE4;371;latte;milk
CodeBarre;ACCEP001-TES20-026; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;026;cobalto;cobalt blue
CodeBarre;ACCEP001-TES20-026; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;026;cobalto;cobalt
CodeBarre;ACCEP001-TES20-055; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;055;nero;black
CodeBarre;ACCEP001-TES20-055; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;055;nero;black
CodeBarre;ACCEP001-TES20-078; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;078;sabbia;sand
CodeBarre;ACCEP001-TES20-078; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;078;sabbia;sand
CodeBarre;ACCEP001-TES20-347; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;347;cedro;cedro
CodeBarre;ACCEP001-TES20-347; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;347;cedro;citrus
CodeBarre;ACCEP001-TES20-484; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;484;coral;coral
CodeBarre;ACCEP001-TES20-484; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;484;coral;coral
CodeBarre;ACCEP001-TES20-485; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;485;atlantic;atlantic
CodeBarre;ACCEP001-TES20-485; O bag summer '19;138; accessorio pochette tessuto;ACCEP001;TES20;485;atlantic;atlantic
CodeBarre;ACCEP001-TES20-486; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;486;pink;pink
CodeBarre;ACCEP001-TESL6-076; O bag summer 2018;139; pochette gomma + tessuto;ACCEP001;TESL6;076;rosso;red
CodeBarre;ACCEP001-TESL6-347; O bag summer 2018;139; pochette gomma + tessuto;ACCEP001;TESL6;347;cedro;cedro
CodeBarre;ACCEP001-TESO6-510; O bag flash beach 2018;71; accessori pochette tessuto;ACCEP001;TESO6;510;naturale bianco;natural white
CodeBarre;ACCEP001-TESO6-522; O bag flash beach 2018;71; accessori pochette tessuto;ACCEP001;TESO6;522;naturale/nero;natural/black
CodeBarre;ACCEP004M-TES20-017; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;017;blu navy;blue navy
CodeBarre;ACCEP004M-TES20-018; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;018;bordeaux;bordeaux
CodeBarre;ACCEP004M-TES20-026; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;026;cobalto;cobalt
CodeBarre;ACCEP004M-TES20-038; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;038;grafite;graphite
CodeBarre;ACCEP004M-TES20-055; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;055;nero;black
CodeBarre;ACCEP004M-TES20-111; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;111;ocra;ocra
CodeBarre;ACCEP004M-TES20-154; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;154;ciliegia;strawberry
CodeBarre;ACCEP004M-TES20-615; O bag capsule soft fall 19;26; accessorio pochette a busta;ACCEP004M;TES20;615;military;military
CodeBarre;ACCEP004-TES20-003; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;003;arancione;orange
CodeBarre;ACCEP004-TES20-008; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;008;bianco;white
CodeBarre;ACCEP004-TES20-026; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;026;cobalto;cobalt
CodeBarre;ACCEP004-TES20-044; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;044;lime;lime
CodeBarre;ACCEP004-TES20-055; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;055;nero;black
CodeBarre;ACCEP004-TES20-078; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;078;sabbia;sand
CodeBarre;ACCEP004-TES20-183; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;183;viola;violet
CodeBarre;ACCEP004-TES20-600; O bag summer '19;27; accessori pochette a busta;ACCEP004;TES20;600;cipria metal;pink metal
CodeBarre;ACCEP006-TESW2-227; O bag .capsule ecobag 19;18; accessori pochette con;ACCEP006;TESW2;227;bianco/nero;white/black
CodeBarre;ACCEP006-TESW2-233; O bag .capsule ecobag 19;18; accessori pochette con;ACCEP006;TESW2;233;bluette/nero;bluette/black
CodeBarre;ACCEP006-TESW2-606; O bag .capsule ecobag 19;18; accessori pochette con;ACCEP006;TESW2;606;giallo fluo/nero;yellow fluo/black
CodeBarre;ACCEP006-TESW2-607; O bag .capsule ecobag 19;18; accessori pochette con;ACCEP006;TESW2;607;fucsia fluo/nero;fucsia fluo/black
CodeBarre;ACCEP013-ECS79-055; O bag Christmas capsule 2017;18; accessori portamonete;ACCEP013;ECS79;055;nero;black
CodeBarre;ACCEP013-ECS79-076; O bag Christmas capsule 2017;18; accessori portamonete;ACCEP013;ECS79;076;rosso;red
CodeBarre;ACCEP014-ECS35-017; O bag summer '19;139; accessori pochette forata;ACCEP014;ECS35;017;blu navy;navy blue
CodeBarre;ACCEP014-ECS35-017; O bag summer 2018;138; accessorio pochette forata;ACCEP014;ECS35;017;blu navy;navy blue
