CodeBarre;OBAGB024-EVS00-018;p022-1-04;bordeaux;burgundy;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-463;p022-1-05;blu maya;maya blue;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-540;p022-1-06;curry;curry;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-050;p022-1-07;melanzana;aubergine;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-076;p022-1-08;rosso;red;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-055;p022-1-09;nero;black;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-371;p022-1-10;latte;milk;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-075;p022-1-11;rosa smoke;rose smoke;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-026;p022-1-12;cobalto;cobalt blue;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;HLESAD01-FAS09-008;p026-1-01;bianco;white;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-018;p026-1-02;bordeaux;burgundy;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-055;p026-1-03;nero;black;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-075;p026-1-04;rosa smoke;rose smoke;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-086;p026-1-05;tortora;dove - grey;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-133;p026-1-06;grigio chiaro;light grey;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD01-FAS09-137;p026-1-07;bluette;bright blue;O bag winter 2018; manichetto tubolare corto +;;;
CodeBarre;HLESAD00-ECS00-017;p027-1-01;blu navy;navy blue;O bag winter 2018; manichetto tubolare ecopelle;;;
CodeBarre;HLESFC00-ECS08-009;p027-1-01;blu;blue;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESAD00-ECS00-018;p027-1-02;bordeaux;burgundy;O bag winter 2018; manichetto tubolare ecopelle;;;
CodeBarre;HLESFC00-ECS08-018;p027-1-02;bordeaux;burgundy;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESAD00-ECS00-055;p027-1-03;nero;black;O bag winter 2018; manichetto tubolare ecopelle;;;
CodeBarre;HLESFC00-ECS08-055;p027-1-03;nero;black;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESAD00-ECS00-084;p027-1-04;testa di moro;dark brown;O bag winter 2018; manichetto tubolare ecopelle;;;
CodeBarre;HLESFC00-ECS08-084;p027-1-04;testa di moro;dark brown;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESFC00-ECS08-089;p027-1-05;verde;green;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESFC00-ECS08-183;p027-1-06;viola;violet;O bag winter 2018; manico con fibbia corto;;;
CodeBarre;HLESF800-ECS94-017;p028-1-01;blu navy;navy blue;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESF800-ECS94-055;p028-1-02;nero;black;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESF800-ECS94-075;p028-1-03;rosa smoke;rose smoke;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESF800-ECS94-133;p028-1-04;grigio chiaro;light grey;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESF800-ECS94-134;p028-1-05;antracite;anthracite;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESF800-ECS94-559;p028-1-06;rame;copper;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESGC00-ECS29-017;p029-1-01;blu navy;navy blue;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESMD00-ECS46-017;p029-1-01;blu navy;navy blue;O bag winter 2018; micromanico tubolare corto;;;
CodeBarre;HLESF800-ECS94-038;p029-1-01;grafite;graphite;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESGC00-ECS04-093;p029-1-01;vino;wine;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESGC00-ECS29-018;p029-1-02;bordeaux;burgundy;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESMD00-ECS46-018;p029-1-02;bordeaux;burgundy;O bag winter 2018; micromanico tubolare corto;;;
CodeBarre;HLESF800-ECS94-051;p029-1-02;mostarda;mostarda;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESGC00-ECS04-183;p029-1-02;viola;violet;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESGC00-ECS04-017;p029-1-03;blu navy;navy blue;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESF800-ECS94-137;p029-1-03;bluette;bluette;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESMD00-ECS46-020;p029-1-03;bronzo;bronze;O bag winter 2018; micromanico tubolare corto;;;
CodeBarre;HLESGC00-ECS29-055;p029-1-03;nero;black;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESGC00-ECS04-026;p029-1-04;cobalto;cobalt blue;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESF800-ECS94-042;p029-1-04;legno;wood;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESMD00-ECS46-055;p029-1-04;nero;black;O bag winter 2018; micromanico tubolare corto;;;
