codeBarre;Code compact;Catalogue;p000-01;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
codeBarre;OBAGB033-EVS00-463; O bag winter 2018;p016-01; scocca O bag urban EVA;OBAGB033;EVS00;463;blu maya;maya blue
codeBarre;OBAGB033-EVS00-017; O bag winter 2018;p016-02; scocca O bag urban EVA;OBAGB033;EVS00;017;blu navy;navy blue
codeBarre;OBAGB033-EVS00-540; O bag winter 2018;p016-03; scocca O bag urban EVA;OBAGB033;EVS00;540;curry;curry
codeBarre;OBAGB033-EVS00-018; O bag winter 2018;p016-04; scocca O bag urban EVA;OBAGB033;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB033-EVS00-371; O bag winter 2018;p016-05; scocca O bag urban EVA;OBAGB033;EVS00;371;latte;milk
codeBarre;OBAGB033-EVS00-050; O bag winter 2018;p016-06; scocca O bag urban EVA;OBAGB033;EVS00;050;melanzana;aubergine
codeBarre;OBAGB033-EVS00-055; O bag winter 2018;p016-07; scocca O bag urban EVA;OBAGB033;EVS00;055;nero;black
codeBarre;OBAGB033-EVS00-076; O bag winter 2018;p016-08; scocca O bag urban EVA;OBAGB033;EVS00;076;rosso;red
codeBarre;OBAGB033-EVS00-078; O bag winter 2018;p016-09; scocca O bag urban EVA;OBAGB033;EVS00;078;sabbia;sand
codeBarre;OBAGB033-EVS00-541; O bag winter 2018;p016-10; scocca O bag urban EVA;OBAGB033;EVS00;541;verde bosco;green forest
codeBarre;OBAGB033-EVS00-389; O bag winter 2018;p016-11; scocca O bag urban EVA;OBAGB033;EVS00;389;silver;silver
codeBarre;OBAGB033-EVS00-559; O bag winter 2018;p016-12; scocca O bag urban EVA;OBAGB033;EVS00;559;rame;copper
codeBarre;OBAGB033-EVS00-075; O bag winter 2018;p017-01; scocca O bag urban EVA;OBAGB033;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB033-EVS00-026; O bag winter 2018;p017-02; scocca O bag urban EVA;OBAGB033;EVS00;026;cobalto;cobalt blue
codeBarre;OBAGB033-EVS00-024; O bag winter 2018;p017-03; scocca O bag urban EVA;OBAGB033;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB034-EVS00-485; O bag winter 2018;p018-01; scocca O bag glam EVA;OBAGB034;EVS00;485;atlantic;atlantic
codeBarre;OBAGB034-EVS00-017; O bag winter 2018;p018-02; scocca O bag glam EVA;OBAGB034;EVS00;017;blu navy;navy blue
codeBarre;OBAGB034-EVS00-540; O bag winter 2018;p018-03; scocca O bag glam EVA;OBAGB034;EVS00;540;curry;curry
codeBarre;OBAGB034-EVS00-018; O bag winter 2018;p018-04; scocca O bag glam EVA;OBAGB034;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB034-EVS00-371; O bag winter 2018;p018-05; scocca O bag glam EVA;OBAGB034;EVS00;371;latte;milk
codeBarre;OBAGB034-EVS00-050; O bag winter 2018;p018-06; scocca O bag glam EVA;OBAGB034;EVS00;050;melanzana;aubergine
codeBarre;OBAGB034-EVS00-055; O bag winter 2018;p018-07; scocca O bag glam EVA;OBAGB034;EVS00;055;nero;black
