 ANSES/ANGULAIREX;SAI  ;COL  ;  ;     S;     M;     L;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;OBAG ;     ;ST;6;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;6
                 ;E18  ;COBAL;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,48
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112
                 ;OBAG ;     ;ST;8;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;8
                 ;E18  ;NAVY ;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59,28
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182
                 ;OBAG ;     ;ST;13;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;13
                 ;E18  ;RED  ;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,68
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
                 ;OBAG ;     ;ST;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
                 ;E18  ;SAND ;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,92
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
                 ;OBAG ;     ;ST;7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;7
                 ;E18  ;VICCO;PA;5,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,16
                 ;     ;     ;PV;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;E18  ;WHITE;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,56
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;E18  ;YELLO;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,68
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
                 ;OBAG ;     ;ST;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
 ANSES/ALLONGEABL;SAI  ;COL  ;  ;0;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;H16  ;APPLE;PA;12,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,44
                 ;     ;     ;PV;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
                 ;OBAG ;     ;ST;2;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;2
                 ;H16  ;ECBLA;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8
                 ;     ;     ;PV;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;H16  ;SAND ;PA;12,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,16
                 ;     ;     ;PV;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117
                 ;OBAG ;     ;ST;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
 ANSES/ATTACHES  ;SAI  ;COL  ;  ;    XS;     S;     M;     L;    XL;   XXL;   XXS;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;H16  ;IVOIR;PA;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;0;0;0;7,19
                 ;     ;     ;PV;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;0;0;0;25
                 ;OBAG ;     ;ST;      ;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;H16  ;ROSA ;PA;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;280
                 ;     ;     ;PV;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;100
                 ;OBAG ;     ;ST;      ;4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;4
                 ;H16  ;SAUGE;PA;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;7,19;0;0;0;50,33
                 ;     ;     ;PV;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;0;0;0;175
                 ;OBAG ;     ;ST;      ;7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;7
                 ;H16  ;TEST ;PA;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;280
                 ;     ;     ;PV;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;100
                 ;OBAG ;     ;ST;      ;      ;      ;4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;4
 ANSES/BEACH     ;SAI  ;COL  ;  ;0;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;H16  ;COGIA;PA;10,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,68
                 ;     ;     ;PV;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
                 ;OBAG ;     ;ST;4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;4
 ANSES/CHAINE/F.C;SAI  ;COL  ;  ;     S;     M;     L;    XL;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;E18  ;RED  ;PA;11,88;11,88;11,88;11,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,76
                 ;     ;     ;PV;36;36;36;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
                 ;OBAG ;     ;ST;      ;      ;2;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;2
                 ;E18  ;ROSMO;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,8
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
                 ;OBAG ;     ;ST;5;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;5
                 ;E18  ;SKYWA;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,36
