'030;420222909-KG;Document Date doc. Client dest.;-;-;CodeBarre;PROF949_2019TOULOUSE.txt
'010;002;OBAGS002-TES01-009;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-2-03;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'011;011;OBAGS002-TES01-054;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-2-04;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'013;014;OBAGS121-TES01-054;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p034-2-01;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'014;021;OBAGS121-TES01-055;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p034-2-02;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'016;022;OCLKS007-SIS01-008-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-01;O CLOCK BRACELET COVER EN SILICONE;M
'015;022;OCLKS007-SIS01-008-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-01;O CLOCK BRACELET COVER EN SILICONE;S
'018;015;OCLKS007-SIS01-055-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-03;O CLOCK BRACELET COVER EN SILICONE;M
'017;015;OCLKS007-SIS01-055-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-03;O CLOCK BRACELET COVER EN SILICONE;S
'020;009;OCLKS007-SIS01-059-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-04;O CLOCK BRACELET COVER EN SILICONE;M
'019;009;OCLKS007-SIS01-059-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-04;O CLOCK BRACELET COVER EN SILICONE;S
'022;023;OCLKS007-SIS01-071-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-05;O CLOCK BRACELET COVER EN SILICONE;M
'021;023;OCLKS007-SIS01-071-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-05;O CLOCK BRACELET COVER EN SILICONE;S
'024;003;OCLKS007-SIS01-086-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-06;O CLOCK BRACELET COVER EN SILICONE;M
'023;003;OCLKS007-SIS01-086-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-06;O CLOCK BRACELET COVER EN SILICONE;S
'026;005;OCLKS007-SIS01-133-M;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-07;O CLOCK BRACELET COVER EN SILICONE;M
'025;005;OCLKS007-SIS01-133-S;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p046-1-07;O CLOCK BRACELET COVER EN SILICONE;S
'027;017;SHOUC006-MTS01-004;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p021-1-01;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'028;004;SHOUC006-MTS01-061;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p021-1-02;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'029;006;SHOUC006-MTS01-348;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p021-1-03;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'027;017;SHOUC006-MTS01-004;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p021-1-04;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'006;018;OBAGS001-TES01-008;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p032-1-01;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
'008;020;OBAGS001-TES01-055;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p032-1-02;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
