XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB021-EVS03-026; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB021-EVS03-017; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;017;blu navy;navy blue;
CodeBarre;OBAGB021-EVS03-055; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;055;nero;black;
CodeBarre;OBAGB021-EVS03-371; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;371;latte;milk;
CodeBarre;OBAGB021-EVS03-422; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;422;sangria;sangria;
CodeBarre;OBAGB021-EVS03-479; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;479;skyway;skyway;
CodeBarre;OBAGB206-EVS00-347; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;347;cedro;cedro;
CodeBarre;OBAGB206-EVS00-076; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;076;rosso;red;
CodeBarre;OBAGB206-EVS00-483; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;483;champagne;champagne;
CodeBarre;OBAGB206-EVS00-026; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB206-EVS00-422; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;422;sangria;sangria;
CodeBarre;OBAGB206-EVS00-075; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB206-EVS00-479; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;479;skyway;skyway;
CodeBarre;OBAGB206-EVS00-084; O bag spring 2018;16; scocca sotto O pocket;OBAGB206;EVS00;084;testa di moro;dark brown;
CodeBarre;OBAGB024-EVS00-347; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;347;cedro;cedro;
CodeBarre;OBAGB024-EVS00-076; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;076;rosso;red;
CodeBarre;OBAGB024-EVS00-483; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;483;champagne;champagne;
CodeBarre;OBAGB024-EVS00-026; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB024-EVS00-075; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB024-EVS00-479; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;479;skyway;skyway;
CodeBarre;OBAGB024-EVS00-055; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;055;nero;black;
CodeBarre;OBAGB024-EVS00-371; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;371;latte;milk;
CodeBarre;OBAGB024-EVS00-422; O bag spring 2018;17; scocca O pocket micro;OBAGB024;EVS00;422;sangria;sangria;
CodeBarre;OBAGB024-EVS00-017; O bag spring 2018;20; scocca O pocket micro;OBAGB024;EVS00;017;blu navy;navy blue;
CodeBarre;OBAGB024-EVS00-026; O bag spring 2018;20; scocca O pocket micro;OBAGB024;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB024-EVS00-055; O bag spring 2018;20; scocca O pocket micro;OBAGB024;EVS00;055;nero;black;
CodeBarre;OBAGB024-EVS00-036; O bag spring 2018;20; scocca O pocket micro;OBAGB024;EVS00;036;giallo;yellow;
CodeBarre;HLESD000-ECS35-076; O bag spring 2018;20; manico lungo componibile;HLESD000;ECS35;076;rosso;red;
CodeBarre;HLESD000-ECS35-371; O bag spring 2018;20; manico lungo componibile;HLESD000;ECS35;371;latte;milk;
CodeBarre;HLESD000-ECS35-017; O bag spring 2018;20; manico lungo componibile;HLESD000;ECS35;017;blu navy;navy blue;
CodeBarre;HLESD000-ECS35-008; O bag spring 2018;20; manico lungo componibile;HLESD000;ECS35;008;bianco;white;
CodeBarre;HLESD000-ECS35-489; O bag spring 2018;20; manico lungo componibile;HLESD000;ECS35;489;rosso/navy/bluette;red/navy blue/bright blue;
CodeBarre;HLESD200-ROS05-500; O bag spring 2018;21; manico componibile goccia;HLESD200;ROS05;500;bluette/blu navy/bianco;bright blue/navy blue/white;
CodeBarre;HLESC200-ECS05-084; O bag spring 2018;22; manico catena goccia lungo;HLESC200;ECS05;084;testa di moro;dark brown;
CodeBarre;HLESC100-TES12-028; O bag spring 2018;22; manico catena angular lungo;HLESC100;TES12;028;ecru;ecru;
CodeBarre;HLESC100-TES12-103; O bag spring 2018;22; manico catena angular lungo;HLESC100;TES12;103;denim;denim;
CodeBarre;HLESC200-TES29-018; O bag spring 2018;23; manico catena goccia lungo;HLESC200;TES29;018;bordeaux;burgundy;
CodeBarre;HLESC200-TES29-055; O bag spring 2018;23; manico catena goccia lungo;HLESC200;TES29;055;nero;black;
CodeBarre;HLESF000-PES03-069; O bag spring 2018;23; manico con fibbia lungo;HLESF000;PES03;069;porpora;purple;
CodeBarre;HLESF000-PES03-108; O bag spring 2018;23; manico con fibbia lungo;HLESF000;PES03;108;terracotta;terracotta;
CodeBarre;HLESF200-ECS00-010; O bag spring 2018;24; manico con fibbia goccia;HLESF200;ECS00;010;blu - grigio;blue - grey;
CodeBarre;HLESF200-ECS00-106; O bag spring 2018;24; manico con fibbia goccia;HLESF200;ECS00;106;kiwi - polvere;kiwi - dusty blue;
CodeBarre;HLESF200-ECS00-104; O bag spring 2018;24; manico con fibbia goccia;HLESF200;ECS00;104;terracotta - phard;terracotta - blush pink;
CodeBarre;HLESF200-ECS00-105; O bag spring 2018;24; manico con fibbia goccia;HLESF200;ECS00;105;grigio - avorio;grey - ivory;
CodeBarre;HLESM200-TES03-098; O bag spring 2018;24; micromanico goccia tessuto;HLESM200;TES03;098;blu-blu;blue - blue;
CodeBarre;HLESM200-TES03-107; O bag spring 2018;24; micromanico goccia tessuto;HLESM200;TES03;107;salmone - terracotta;salmon - terracotta;
CodeBarre;HLESM200-TES03-099; O bag spring 2018;24; micromanico goccia tessuto;HLESM200;TES03;099;grigio-tortora;grey - dove-grey;
CodeBarre;HLESM200-TES03-100; O bag spring 2018;24; micromanico goccia tessuto;HLESM200;TES03;100;kiwi-verde;kiwi - green;
CodeBarre;HLESG000-ECS04-038; O bag spring 2018;25; manico lungo ecopelle;HLESG000;ECS04;038;grafite;graphite;
CodeBarre;HLESG000-ECS04-135; O bag spring 2018;25; manico lungo ecopelle;HLESG000;ECS04;135;peltro;pewter;
CodeBarre;HLESG000-FES00-005; O bag spring 2018;25; manico lungo feltro;HLESG000;FES00;005;avio;air force blue;
CodeBarre;HLESG000-FES00-154; O bag spring 2018;25; manico lungo feltro;HLESG000;FES00;154;ciliegia;cherry;
CodeBarre;HLESG000-FES00-063; O bag spring 2018;25; manico lungo feltro;HLESG000;FES00;063;ottanio;teal;
CodeBarre;HLESG000-FES00-079; O bag spring 2018;25; manico lungo feltro;HLESG000;FES00;079;senape;mustard;
