Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;051;;mostarda;mustard;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;139;;mela;apple;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;183;;viola;violet;
 O bag summer 2018;22; manico catena goccia lungo;HLESC200;ECS05;084;;testa di moro;dark brown;
 O bag summer 2018;22; manico catena angular lungo;HLESC100;TES12;028;;ecru;ecru;
 O bag summer 2018;22; manico catena angular lungo;HLESC100;TES12;103;;denim;denim;
 O bag summer 2018;23; manico catena goccia lungo;HLESC200;TES29;018;;bordeaux;burgundy;
 O bag summer 2018;23; manico catena goccia lungo;HLESC200;TES29;055;;nero;black;
 O bag summer 2018;23; manico con fibbia lungo;HLESF000;PES03;069;;porpora;purple;
 O bag summer 2018;23; manico con fibbia lungo;HLESF000;PES03;108;;terracotta;terracotta;
 O bag summer 2018;24; manico con fibbia goccia;HLESF200;ECS00;010;;blu - grigio;blue - grey;
 O bag summer 2018;24; manico con fibbia goccia;HLESF200;ECS00;106;;kiwi - polvere;kiwi - dusty blue;
 O bag summer 2018;24; manico con fibbia goccia;HLESF200;ECS00;104;;terracotta - phard;terracotta - blush pink;
 O bag summer 2018;24; manico con fibbia goccia;HLESF200;ECS00;105;;grigio - avorio;grey - ivory;
 O bag summer 2018;24; micromanico goccia tessuto;HLESM200;TES03;098;;blu-blu;blue - blue;
 O bag summer 2018;24; micromanico goccia tessuto;HLESM200;TES03;107;;salmone - terracotta;salmon - terracotta;
 O bag summer 2018;24; micromanico goccia tessuto;HLESM200;TES03;099;;grigio-tortora;grey - dove-grey;
 O bag summer 2018;24; micromanico goccia tessuto;HLESM200;TES03;100;;kiwi-verde;kiwi - green;
 O bag summer 2018;25; manico lungo ecopelle;HLESG000;ECS04;038;;grafite;graphite;
 O bag summer 2018;25; manico lungo ecopelle;HLESG000;ECS04;135;;peltro;pewter;
 O bag summer 2018;25; manico lungo feltro;HLESG000;FES00;005;;avio;air force blue;
 O bag summer 2018;25; manico lungo feltro;HLESG000;FES00;154;;ciliegia;cherry;
 O bag summer 2018;25; manico lungo feltro;HLESG000;FES00;063;;ottanio;teal;
 O bag summer 2018;25; manico lungo feltro;HLESG000;FES00;079;;senape;mustard;
 O bag summer 2018;26; manico angular lungo;HLESG100;ECS00;009;;blu;blue;
 O bag summer 2018;26; manico angular lungo;HLESG100;ECS00;039;;grigio;grey;
 O bag summer 2018;26; manico angular lungo;HLESG100;ECS00;108;;terracotta;terracotta;
 O bag summer 2018;26; manico angular lungo;HLESG100;ECS13;006;;avorio;ivory;
 O bag summer 2018;26; manico angular lungo;HLESG100;ECS13;087;;taupe;taupe;
 O bag summer 2018;27; manico goccia lungo;HLESG200;ECS12;122;;salmone - blu;salmon - blue;
 O bag summer 2018;27; manico goccia lungo;HLESG200;ECS12;123;;blu - polvere;blue - dust blue;
 O bag summer 2018;27; manico goccia lungo;HLESG200;ECS12;124;;glicine - grigio;wisteria - grey;
 O bag summer 2018;27; micromanico lungo tessuto;HLESM000;TES06;102;;denim - cuoio;denim - leather;
 O bag summer 2018;28; manico nottolino allungabile;HLESNB00;ECS00;054;;naturale;natural;
 O bag summer 2018;28; manico nottolino allungabile;HLESNB00;ECS00;086;;tortora;dove-grey;
 O bag summer 2018;28; manico nottolino allungabile;HLESNB00;ECS00;055;;nero;black;
 O bag summer 2018;28; manico nottolino allungabile;HLESNB00;ECS00;084;;testa di moro;dark brown;
 O bag summer 2018;28; manico piatti lungo ecopelle;HLESP000;ECS06;039;;grigio;grey;
 O bag summer 2018;28; manico piatti lungo ecopelle;HLESP000;ECS06;048;;mattone;brick;
 O bag summer 2018;28; manico piatti lungo ecopelle;HLESP000;ECS06;089;;verde;green;
 O bag summer 2018;29; manico extra slim angular;HLESX100;ECS00;009;;blu;blue;
 O bag summer 2018;29; manico extra slim angular;HLESX100;ECS00;036;;giallo;yellow;
 O bag summer 2018;29; manico extra slim angular;HLESX100;ECS00;076;;rosso;red;
 O bag summer 2018;29; manico extra slim angular;HLESX110;ECS00;054;;naturale;natural;
 O bag summer 2018;29; manico extra slim angular;HLESX110;ECS00;055;;nero;black;
 O bag summer 2018;29; manico extra slim angular;HLESX110;ECS00;084;;testa di moro;dark brown;
 O bag summer 2018;30; manico extra slim angular;HLESX110;ECS07;063;;ottanio;teal;
 O bag summer 2018;30; manico extra slim angular;HLESX110;ECS07;089;;verde;green;
 O bag summer 2018;30; manico extra slim angular;HLESX110;ECS07;183;;viola;violet;
 O bag summer 2018;30; manico extra slim goccia;HLESX200;ECS08;055;;nero;black;
 O bag summer 2018;31; manico extra slim goccia;HLESX200;ECS27;018;;bordeaux;burgundy;
 O bag summer 2018;31; manico extra slim goccia;HLESX200;ECS13;006;;avorio;ivory;
 O bag summer 2018;31; manico extra slim goccia;HLESX200;ECS13;087;;taupe;taupe;
 O bag summer 2018;31; manico extra slim goccia;HLESX200;ECS13;039;;grigio;grey;
 O bag summer 2018;31; manico extra slim goccia;HLESX200;ECS13;084;;testa di moro;dark brown;
 O bag summer 2018;32; manico con fibbia rombo;HLESF300;PES00;055;;nero;black;
 O bag summer 2018;32; manico con fibbia rombo;HLESF300;PES00;084;;testa di moro;dark brown;
 O bag summer 2018;32; manico con fibbia rombo;HLESF300;PES00;093;;vino;wine;
 O bag summer 2018;33; manichetto tubolare tessuto;HLESAD00;TES20;078;;sabbia - argento;sand - silver;
 O bag summer 2018;33; manichetto tubolare tessuto;HLESAD00;TES20;139;;mela - argento;apple - silver;
 O bag summer 2018;33; manichetto tubolare tessuto;HLESAD00;TES20;078;;sabbia;sand;
 O bag summer 2018;33; manichetto tubolare tessuto;HLESAD00;TES20;139;;mela;apple;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;484;;coral - argento;coral - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;485;;atlantic - argento;atlantic - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;017;;blu navy - argento;navy blue - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;055;;nero - argento;black - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;371;;latte - argento;milk - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;026;;cobalto - argento;cobalt blue - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;422;;sangria - argento;sangria - silver;
 O bag summer 2018;34; manichetto tubolare ecopelle;HLESAD00;ECS00;076;;rosso - argento;red - silver;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;026;;cobalto;cobalt blue;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;017;;blu navy;navy blue;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;484;;coral;coral;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;479;;skyway;skyway;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;485;;atlantic;atlantic;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;055;;nero;black;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;371;;latte;milk;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;422;;sangria;sangria;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;221;;cognac;cognac;
 O bag summer 2018;35; micromanico tubolare;HLESMD00;ECS46;183;;viola;violet;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;026;;cobalto;cobalt blue;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;128;;salmone;salmon;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;046;;mare;sea blue;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;137;;bluette;bright blue;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;051;;mostarda;mustard;
 O bag summer 2018;35; manico corto ecopelle;HLESGC00;ECS04;139;;mela;apple;
 O bag summer 2018;37; manichetto piatto tessuto;HLESAG00;TESL5;026;;cobalto;cobalt blue;
 O bag summer 2018;37; manichetto piatto tessuto;HLESAG00;TESL5;076;;rosso;red;
 O bag summer 2018;38; manico con fibbia goccia;HLESF800;ECS00;010;;blu - grigio;blue - grey;
 O bag summer 2018;38; manico con fibbia goccia;HLESF800;ECS00;106;;kiwi - polvere;kiwi - dusty blue;
 O bag summer 2018;38; manico con fibbia goccia;HLESF800;ECS00;104;;terracotta - phard;terracotta - blush pink;
 O bag summer 2018;38; manico con fibbia goccia;HLESF800;ECS00;105;;grigio - avorio;grey - ivory;
 O bag summer 2018;38; manico con fibbia corto pelle;HLESFC00;PES03;088;;turchese;turquoise;
 O bag summer 2018;39; manico corto ecopelle;HLESGC00;ECS04;038;;grafite;graphite;
 O bag summer 2018;39; manico corto ecopelle;HLESGC00;ECS04;135;;peltro;pewter;
 O bag summer 2018;39; manico extra slim goccia;HLESX800;ECS13;006;;avorio;ivory;
 O bag summer 2018;39; manico extra slim goccia;HLESX800;ECS13;087;;taupe;taupe;
 O bag summer 2018;39; manico extra slim goccia;HLESX800;ECS13;039;;grigio;grey;
 O bag summer 2018;39; manico extra slim goccia;HLESX800;ECS13;084;;testa di moro;dark brown;
 O bag summer 2018;40; manico micromanico goccia;HLESM800;TES19;341;;dark multicolor;dark multicolor;
 O bag summer 2018;40; micromanico corto feltro più;HLESMC00;FES06;010;;blu - grigio;blue - grey;
 O bag summer 2018;40; micromanico corto feltro più;HLESMC00;FES06;321;;bordeaux - blu;burgundy - blue;
 O bag summer 2018;40; micromanico corto feltro più;HLESMC00;FES06;037;;giallo - verde;yellow - green;
 O bag summer 2018;40; micromanico corto feltro più;HLESMC00;FES06;049;;mattone - beige;brick - beige;
 O bag summer 2018;41; manico piatti goccia corto O;HLESP809;ECS00;084;;testa di moro;dark brown;
 O bag summer 2018;41; manico piatti corto ecopelle;HLESPC00;ECS05;035;;ghiaccio;ice;
 O bag summer 2018;41; manico piatti corto ecopelle;HLESPC00;ECS05;055;;nero;black;
 O bag summer 2018;41; manico piatti corto ecopelle;HLESPC00;ECS05;084;;testa di moro;dark brown;
 O bag summer 2018;42; manico piatti corto ecopelle;HLESPC00;ECS06;035;;ghiaccio;ice;
 O bag summer 2018;42; manico piatti corto ecopelle;HLESPC00;ECS06;089;;verde;green;
 O bag summer 2018;42; manico piatti corto ecopelle;HLESPC00;ECS06;039;;grigio;grey;
 O bag summer 2018;42; manico piatti corto ecopelle;HLESPC00;ECS06;048;;mattone;brick;
 O bag summer 2018;42; manico piatti corto O bag ‘50;HLESPC09;ECS00;054;;naturale;natural;
 O bag summer 2018;42; manico piatti corto O bag ‘50;HLESPC09;ECS00;055;;nero;black;
 O bag summer 2018;43; manico piatti corto O bag ‘50;HLESPC09;ECS04;008;;bianco;white;
 O bag summer 2018;43; manico piatti corto O bag ‘50;HLESPC09;ECS04;347;;cedro;cedro;
 O bag summer 2018;43; manico piatti corto O bag ‘50;HLESPC09;ECS04;026;;cobalto;cobalt blue;
 O bag summer 2018;43; manico piatti corto O bag ‘50;HLESPC09;ECS04;484;;corallo;coral;
 O bag summer 2018;43; manico extra slim angular;HLESX700;ECS00;009;;blu;blue;
 O bag summer 2018;43; manico extra slim angular;HLESX700;ECS00;036;;giallo;yellow;
 O bag summer 2018;43; manico extra slim angular;HLESX700;ECS00;076;;rosso;red;
 O bag summer 2018;44; manico extra slim angular;HLESX700;ECS14;126;;cielo-rosa;sky blue - pink;
 O bag summer 2018;44; manico extra slim angular;HLESX700;ECS14;127;;glicine-tortora;wisteria - dove-grey;
 O bag summer 2018;44; manico extra slim angular;HLESX710;ECS00;055;;nero;black;
 O bag summer 2018;44; manico extra slim angular;HLESX710;ECS00;084;;testa di moro;dark brown;
 O bag summer 2018;45; manico extra slim angular;HLESX710;ECS03;054;;naturale;natural;
 O bag summer 2018;45; manico extra slim angular;HLESX710;ECS07;063;;ottanio;teal;
 O bag summer 2018;45; manico extra slim angular;HLESX710;ECS07;183;;viola;violet;
 O bag summer 2018;45; manico extra slim angular;HLESX710;ECS07;084;;testa di moro;dark brown;
 O bag summer 2018;45; manico extra slim angular;HLESX710;ECS07;089;;verde;green;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS00;005;;avio;air force blue;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS00;067;;phard;blush pink;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS00;052;;muschio;moss green;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS00;054;;naturale;natural;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS08;009;;blu;blue;
 O bag summer 2018;46; manico extra slim goccia;HLESX800;ECS08;055;;nero;black;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;003;;arancione;orange;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;018;;bordeaux;burgundy;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;006;;avorio;ivory;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;055;;nero;black;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;017;;blu navy;navy blue;
 O bag summer 2018;47; accessorio maniglie O moon;OBAGAM16;MAS00;071;;roccia;rock;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;006;;avorio;ivory;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;067;;phard;blush pink;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;017;;blu navy;navy blue;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;078;;sabbia;sand;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;055;;nero;black;
 O bag summer 2018;48; accessorio borchiette O;OBAGAB17;MAS00;108;;terracotta;terracotta;
 O bag summer 2018;49; doppia tracollina ecopelle;SHOUD900;ECS43;017;;blu navy;navy blue;
 O bag summer 2018;49; tracolla 80 tessuto vichy;SHOUG800;TESL3;026;;cobalto;cobalt blue;
 O bag summer 2018;49; tracolla 80 tessuto vichy;SHOUG800;TESL3;076;;rosso;red;
 O bag summer 2018;49; tracolla 80 tessuto vichy;SHOUG800;TESL3;054;;naturale;natural;
 O bag summer 2018;49; tracolla 80 tessuto vichy;SHOUG800;TESL3;230;;terra bruciata;burnt umber;
 O bag summer 2018;50; tracolla 80/120 ecopelle +;SHOUGB00;ECS74;026;;cobalto;cobalt blue;
 O bag summer 2018;50; tracolla 80/120 ecopelle +;SHOUGB00;ECS74;479;;skyway;skyway;
 O bag summer 2018;50; tracolla 80/120 ecopelle +;SHOUGB00;ECS74;484;;coral;coral;
 O bag summer 2018;50; tracolla 80/120 tessuto;SHOUGB00;TESJ9;001;;acqua;aqua;
 O bag summer 2018;50; tracolla 80/120 tessuto;SHOUGB00;TESJ9;422;;sangria;sangria;
 O bag summer 2018;51; tracolla 80/120 tessuto;SHOUGB00;TESJ9;510;;naturale bianco;natural white;
 O bag summer 2018;51; tracollina swing corda;SHOUD900;ROS07;054;;naturale;natural;
 O bag summer 2018;52; tracolla lunga ecopelle;SHOUG000;ECS26;017;;blu navy;navy blue;
 O bag summer 2018;52; tracolla lunga ecopelle;SHOUG000;ECS26;054;;naturale;natural;
 O bag summer 2018;52; tracolla lunga ecopelle;SHOUG000;ECS28;009;;blu;blue;
 O bag summer 2018;52; tracolla lunga ecopelle;SHOUG000;ECS28;072;;rosa;pink;
 O bag summer 2018;52; tracolla lunga ecopelle;SHOUG000;ECS28;080;;salvia;sage;
 O bag summer 2018;53; tracolla lunga tessuto;SHOUG000;TES20;001;;acqua;aqua;
 O bag summer 2018;53; tracolla lunga tessuto;SHOUG000;TES20;015;;blu iris;iris blue;
 O bag summer 2018;53; tracolla lunga tessuto;SHOUG000;TES20;035;;ghiaccio;ice;
 O bag summer 2018;53; tracolla lunga tessuto;SHOUG000;TES20;045;;magenta;magenta;
 O bag summer 2018;53; tracolla goccia forata lunga;SHOUG400;ECS00;086;;tortora;dove-grey;
 O bag summer 2018;53; tracolla goccia forata lunga;SHOUG400;ECS00;118;;cielo;sky blue;
 O bag summer 2018;54; tracolla goccia forata lunga;SHOUG400;TES02;039;;grigio;grey;
