Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018 .continuativo carry over;40; bordo O bag mini;OBAGT002;FAS04;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;40; bordo O bag mini;OBAGT002;FAS04;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;41; sacca interna zip O bag;OBAGS001;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;41; sacca interna zip O bag;OBAGS001;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;41; sacca interna zip O bag;OBAGS001;TES01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;41; sacca interna zip O bag;OBAGS001;TES01;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;42; sacca interna zip O bag mini;OBAGS002;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;42; sacca interna zip O bag mini;OBAGS002;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;42; sacca interna zip O bag mini;OBAGS002;TES01;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;42; sacca interna zip O bag mini;OBAGS002;TES01;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;43; sacca interna zip O bag ‘50;OBAGS009;TES01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;43; sacca interna zip O bag ‘50;OBAGS009;TES01;134;;antracite;anthracite;
 O bag summer 2018 .continuativo carry over;44; sacca interna zip O city;OBAGS010;TES26;055;;nero;black;
 O bag summer 2018 .continuativo carry over;44; sacca interna zip O city;OBAGS010;TES26;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;44; sacca interna zip O city;OBAGS010;TES26;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;45; sacca interna zip O moon;OBAGS016;TES26;055;;nero;black;
 O bag summer 2018 .continuativo carry over;45; sacca interna zip O moon;OBAGS016;TES26;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;45; sacca interna zip O moon;OBAGS016;TES26;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;46; sacca interna coulisse O;OBAGS121;TES01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;46; sacca interna coulisse O;OBAGS121;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;47; sacca interna coulisse O;OBAGS121;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;47; sacca interna coulisse O;OBAGS121;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;47; sacca interna coulisse O;OBAGS121;TES01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;48; sacca interna zip O bag;OBAGS018;TES26;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;48; sacca interna zip O bag;OBAGS028;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;48; sacca interna zip O bag;OBAGS028;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;52; sacca interna zip O bag;OBAGS028;TES01;006;;avorio;ivory;
 O bag summer 2018 .continuativo carry over;52; sacca interna zip O bag;OBAGS028;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;56; scocca O square;OBAGB019;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;57; manico + spallaccio goccia;HLESZ817;ECS00;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;57; manico + spallaccio goccia;HLESZ817;ECS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;063;;ottanio;teal;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;041;;grigio scuro;dark grey;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;044;;lime;lime;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;60; sacca interna zip O square;OBAGS019;TES01;183;;viola;violet;
 O bag summer 2018 .continuativo carry over;clock; O clock meccanismo mirror;OCLKD001;MES03;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;61; O clock meccanismo mirror;OCLKD001;MES03;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;61; O clock meccanismo mirror;OCLKD001;MES03;020;;bronzo;bronze;
 O bag summer 2018 .continuativo carry over;61; O clock meccanismo mirror;OCLKD001;MES03;061;;oro;gold;
 O bag summer 2018 .continuativo carry over;61; O clock meccanismo soleil;OCLKD001;MES04;061;;oro;gold;
 O bag summer 2018 .continuativo carry over;61; O clock meccanismo soleil;OCLKD001;MES04;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;186;;bianco mix;white mix;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;055;;nero;black;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;077;;rubino;ocean;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;014;;blu elettrico;electric blue;
 O bag summer 2018 .continuativo carry over;62; O clock meccanismo pavé;OCLKD001;MES02;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo crystal;OCLKD001;MES09;061;;oro;gold;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo crystal;OCLKD001;MES09;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo glitter;OCLKD001;MES10;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo glitter;OCLKD001;MES10;055;;nero;black;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo glitter;OCLKD001;MES10;013;;blu capri;capri blue;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo glitter;OCLKD001;MES10;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;63; O clock meccanismo glitter;OCLKD001;MES10;041;;grigio scuro;dark grey;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;133;;grigio chiaro;light grey;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;041;;grigio scuro;dark grey;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;055;;nero;black;
 O bag summer 2018 .continuativo carry over;64; O clock meccanismo numeri;OCLKD001;MES07;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;020;;bronzo;bronze;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;039;;grigio;great;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;65; O clock cinturino silicone;OCLKS007;SIS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;66; meccanismo great tone on;OCLKD101;MES06;055;;nero;black;
 O bag summer 2018 .continuativo carry over;66; meccanismo great tone on;OCLKD101;MES06;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;66; meccanismo great tone on;OCLKD101;MES06;039;;grigio;great;
 O bag summer 2018 .continuativo carry over;66; meccanismo great tone on;OCLKD101;MES06;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;66; meccanismo great tone on;OCLKD101;MES06;055;;nero;black;
 O bag summer 2018 .continuativo carry over;67; meccanismo great date tone;OCLKD104;MES06;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;67; meccanismo great date tone;OCLKD104;MES06;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;67; meccanismo great date tone;OCLKD104;MES06;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;67; meccanismo great date tone;OCLKD104;MES06;041;;grigio scuro;dark grey;
 O bag summer 2018 .continuativo carry over;67; meccanismo great date tone;OCLKD104;MES06;055;;nero;black;
